type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id
checklist,Vehicle Incident Report,,,,,,Vehicle Incident Report,
section,Details,,,,,,,
checkpoint-no-value,Details,,,,,,,
date,Date,,,,,,,
textbox,Time,,,,,,,
checkpoint-no-value,Reported by,,,,,,,
textbox,Name and Surname,,,,,,,
checkpoint-no-value,Driver details,,,,,,,
textbox,Name & Surname,,,,,,,
checkpoint-no-value,Vehicle Registration Number,,,,,,,
textbox,,,,,,,,
checkpoint-no-value,Details of incident,,,,,,,
textbox,(Please describe),,,,,,,
note,Add Pictures of vehicle and area,,,,,,,
checkpoint-no-value,Was there a 3rd Party involved?,,,,,,,
textbox,,,,,,,,
checkpoint-no-value,3rd party or Person involved,,,,,,,
textbox,Name & Surname,,,,,,,
checkpoint-no-value,3rd Party Contact details,,,,,,,
textbox,,,,,,,,
note,Take picture 3rd Party drivers Licence,,,,,,,
note,(Front and Back),,,,,,,
note,Pictures of 3rd party vehicle registration plate,,,,,,,
note,Pictures of 3rd party vehicle rego details,,,,,,,
signoff,Review and signoff by Supervisor / Manager,,,,,,,
