"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"416fecf0-9d58-450c-b59d-63a9ef5e77e4","","checklist-flat","pass","145daa2aaf83ce100e03308fa2592b119272de55359c236a0b0a3350dee5e8a6","checklist-flat","FALSE","FALSE","Job Details"
"d9d7402b-8dab-4e1b-bd41-6bba72d81581","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Site Info"
"19286452-2361-4871-b3bf-d1140e1e708d","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Latest Drawings"
"27236dc0-d9cd-473b-b425-c0f46442d0dc","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Scope of Works Attached"
"9bfb00cf-0148-4596-93a6-02192c565d20","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Additional Pre Start Docs"
"65e74bd6-3b12-4b69-9292-dd36f6703c36","","checkpoint-status","pass","","","TRUE","TRUE","Job Details","Fixing Plan Attached "
"b76bd201-f7db-40d1-8ead-081fa4319f07","","folder-normal","work-in-progress","","step","TRUE","FALSE","QA"
"b7c9081b-4ca0-42b0-816f-26ec1abc70dc","","folder-normal","pass","","step","TRUE","FALSE","QA","Ground Floor"
"124bb2ed-e0bd-4e7b-9963-3b761a9d7600","","checklist-sectioned","pass","QA - Fibertite to Concrete Checklist","checklist","FALSE","FALSE","QA","Ground Floor","G01"
"91281e25-782f-4911-bc05-ad76aff15742","","checkpoint-group","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Prestart"
"0ba4bc4a-12d1-487e-a8f4-7beee43974d0","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Prestart","Area accessible"
"8a851af5-4dd2-40d5-872f-87c6361061fc","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Prestart","Edge protection and safety installed"
"8f9965c2-7267-44c8-af8c-405cc7856ea1","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Prestart","Substrate complete and ready for SWP"
"3d807b8a-b77c-419a-a1b6-461c0d76afd1","","checkpoint-group","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Concrete Substrate"
"ac37028c-e386-4800-bf6b-2531574376a9","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Concrete Substrate","Substrate clean and dry. Free from dirt/debris contamination and ready for membrane"
"4b2e7d89-0278-4587-ab61-3a3a23eb1da3","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Concrete Substrate","All lumps and sharp concrete bits ground/hammered down"
"35c3bfe1-db79-4fcd-ab5b-8693f365af23","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Concrete Substrate","Large holes filled with grout"
"eccbe43d-8948-419e-a2aa-851e703ef798","","checkpoint-group","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite"
"211bad6e-523f-4305-b511-471d9155caca","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Adhesive installed to substrate"
"9567bfbc-a504-4280-bacf-d1c270a526a7","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Laying of membrane into adhesive"
"cd285427-6e95-433a-ae12-b305b08c7e30","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Broom/rolling of membrane"
"f4f93303-21da-435a-967a-cee9ee689505","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Wipe and clean laps prior to welding"
"99b735de-8989-4892-96f5-89ac989059d6","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Test weld with the welding machines"
"da271273-5952-4666-b855-9acfa12dbd67","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Probe of seam with QA hook"
"491d46fe-64ed-4782-9d6c-2f903838c1c1","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Pressure bars installed"
"6a064347-2d53-4e9a-9f65-40ee7692a3a8","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Membrane dressed into drains/outlets"
"a67a11af-6547-44ff-be2e-dd9661fbd2c4","","checkpoint-status","pass","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Claps/rings/baskets installed"
"3af72193-0487-46f6-970f-6715d57eb617","","checkpoint-status","not-applicable","","","FALSE","FALSE","QA","Ground Floor","G01","Fibertite","Flood/ILD tested"
