Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall progress,,,,,
,Scope,,,,
,Rows,,,,
,,Ground,,Ground,
,,Level 1,,Level 1,
,,Level 2,,Level 2,
,,Level 3,,Level 3,
,,Level 4,,Level 4,
,,Level 5,,Level 5,
,,Level 6,,Level 6,
,,Level 7,,Level 7,
,,Level 8,,Level 8,
,,Level 9,,Level 9,
,,Level 10,,Level 10,
,,Level 11,,Level 11,
,,Level 12,,Level 12,
,,Level 13,,Level 13,
,,Level 14,,Level 14,
,,Level 15,,Level 15,
,,Level 16,,Level 16,
,,Level 17,,Level 17,
,,Level 18,,Level 18,
,,Level 19,,Level 19,
,,Level 20,,Level 20,
,Columns,,,,
,,Brackets,,Brackets,
,,Panels,,Panels,
,,Smoke Seal,,Smoke Seal,
,,Sub Framing,,Sub Framing,
