type,name,values,prefix,postfix,usage count,user addable,template name,,,,,
checklist-flat,Earth Pegs,,,,,,,,,,,
checkpoint,Mold type identified,,,,,,,,,,,
dropdown,Select mold type:,"GT 50mm SQ to 16mm S/S vertical rod, XBQ - 50mm SQ to 50mm SQ crossover, TA 50mm SQ Horizontal Tee, XA 185mm N/C run to 185mm N/C4 120mm, T.A. 185mm N/C run to 50mm Horizontal Tee, X.A. 185mm N/C run to 185mm N/C Tap, X.A 185mm N/C # 50mm run to 185mm N/C # 50mm Tap, T.A 185mm N/C Run to 120mm N/C Horizontal Tee, T.A. 185mm N/C Horizontal Tee",,,,,,,,,,
checkpoint,Cadweld Visual test,,,,,,,,,,,
note,Please attach photo,,,,,,,,,,,
checkpoint,Cadweld Ductor test,,,,,,,,,,,
textbox,Result:,,,,,,,,,,,
note,Please attach photo,,,,,,,,,,,
checkpoint,Continuity test [Peg to Earth Bar],,,,,,,,,,,
textbox,Result:,,,,,,,,,,,
checkpoint,3 Wire Earth test,,,,,,,,,,,
textbox,Result:,,,,,,,,,,,
note,Pass if <1 ohm,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,Cadwelds,,,,,,,,,,,
checkpoint,"Mold type, # and cable size identified",,,,,,,,,,,
dropdown,Select mold type:,Run & Tap Horizontal Tee,,,,,,,,,,
dropdown,Select mold #,TAC-2C2C,,,,,,,,,,
dropdown,Select cable size,70mm to 70mm Tee,,,,,,,,,,
checkpoint,Cadweld Visual test,,,,,,,,,,,
note,Please attach photo,,,,,,,,,,,
checkpoint,Cadweld Ductor test,,,,,,,,,,,
textbox,Result :,,,,,,,,,,,
note,Pass if <50 micro ohms,,,,,,,,,,,
note,Please attach photo,,,,,,,,,,,
checkpoint,"Cadweld wrapped in 3M SCOTCH 23 RUBBER, 3M TEMFLEX 1500 GREEN TAPE",,,,,,,,,,,
note,Please attach photo,,,,,,,,,,,
checkpoint,GPS coordinates taken,,,,,,,,,,,
textbox,Notes:,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-01A Entec - Cable Pre-installation,,,,,,,,,,,
checkpoint,Check cable details are correct and in accordance with cable schedule.,,,,,,,,,,,
checkpoint,"Where installing cable on cable tray/ ladder, conduit, Unistrut or similar cable enclosure, ensure (Cable Tray & Transits) has been completed and submitted.",,,,,,,,,,,
checkpoint,"Sufficient rollers in place to prevent excessive cable rubbing, (if applicable).",,,,,,,,,,,
checkpoint,Care should be taken that cables are not left on any area where it may be subject to damage. Cables must not be left in or across trafficable areas.,,,,,,,,,,,
checkpoint,"If a winch is used for pulling, check:",,,,,,,,,,,
tickbox,Type and rated maximum loads are identified and pulling tension does not exceed recommended maximum tension rating of the winch or cable.,,,,,,,,,,,
textbox,Record maximum pulling tension.,,,kN,,,,,,,,
textbox,Capstan speed.,,,RPM,,,,,,,,
textbox,Cable speed.,,,Metre per minute,,,,,,,,
tickbox,Is winch secured and anchored?,,,,,,,,,,,
tickbox,Cable stocking is correct size and secured?,,,,,,,,,,,
checkpoint,"In all cases, ensure the cable minimum bending radius is not exceeded.",,,,,,,,,,,
checkpoint,Check cable installed undamaged & cable ends are sealed to prevent the ingress of moisture.,,,,,,,,,,,
checkpoint,"Cable clamps, cleats, ties, etc. are of suitable type and spacing as per the requirements.",,,,,,,,,,,
checkpoint,"Segregation from other electrical systems, pipes or structures has been by separation, barriers, or distance (a minimum of 300mm).",,,,,,,,,,,
checkpoint,Cable markers are attached at either side of all transits and at every connection/ termination point.,,,,,,,,,,,
checkpoint,All cable installation drawings marked up “As Built”.,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-03A Entec - UPS Installation,,,,,,,,,,,
checkpoint,Check equipment and nameplate details are correct and in accordance with the data sheet and Equipment Schedule.,,,,,,,,,,,
checkpoint,Check for mechanical damage.,,,,,,,,,,,
checkpoint,Panel IP rating is correct.,,,,,,,,,,,
textbox,,,IP.,,,,,,,,,
checkpoint,Holding down arrangement and seat alignment correct.,,,,,,,,,,,
checkpoint,Panels aligned correctly.,,,,,,,,,,,
checkpoint,Earth alignment to vendor specification & connecting link bolts torqued to the manufacturers recommendations & marked.,,,,,,,,,,,
checkpoint,External bonding correct,,,,,,,,,,,
checkpoint,Bus bar alignment to vendor specifications & connecting link bolts torqued to the manufacturer’s recommendations & marked.,,,,,,,,,,,
textbox,,,Nm.,,,,,,,,,
checkpoint,Phase identification correct.,,,,,,,,,,,
checkpoint,"Instrument, indication lamps & interlocks correct.",,,,,,,,,,,
checkpoint,"Main switches, contactors, fuses etc. sized & identified correctly as per Single Line Drawings.",,,,,,,,,,,
checkpoint,Check main isolator switch operation.,,,,,,,,,,,
checkpoint,Check bypass isolator switch operation.,,,,,,,,,,,
checkpoint,Check DC UPS battery isolator switch operation.,,,,,,,,,,,
checkpoint,COM Interface & Mod Link.,,,,,,,,,,,
checkpoint,Padlocking facilities correct.,,,,,,,,,,,
checkpoint,Check internals for cleanliness.,,,,,,,,,,,
checkpoint,"Check manual operation of selector switch, MCB, push button, etc.",,,,,,,,,,,
checkpoint,"Incoming cable correctly installed, terminated & supported.",,,,,,,,,,,
checkpoint,Unused cable entries sealed.,,,,,,,,,,,
checkpoint,"All internal cabling & wiring neat, correct & tight.",,,,,,,,,,,
checkpoint,Heaters correctly installed.,,,,,,,,,,,
checkpoint,Fans correctly installed.,,,,,,,,,,,
checkpoint,Verify continuity of earth bar to frame,,,,,,,,,,,
textbox,,,,Ohm,,,,,,,,
checkpoint,"Check Busbar Insulation resistance between Phases, Phases & Earth (690V-2500VDC, 400V -1000VDC)",,,,,,,,,,,
textbox,Temp,,,Celsius,,,,,,,,
textbox,L3-L2,,,Megaohm,,,,,,,,
textbox,L3-L1,,,Megaohm,,,,,,,,
textbox,L3-N,,,Megaohm,,,,,,,,
textbox,L3-E,,,Megaohm,,,,,,,,
textbox,L2-L1,,,Megaohm,,,,,,,,
textbox,L2-N,,,Megaohm,,,,,,,,
textbox,L2-E,,,Megaohm,,,,,,,,
textbox,L1-N,,,Megaohm,,,,,,,,
textbox,L1-E,,,Megaohm,,,,,,,,
textbox,N-E,,,Megaohm,,,,,,,,
checkpoint,Confirm Ductor test recorded- (ITR-E-21A),,,,,,,,,,,
checkpoint,Drawings marked up with relevant changes and As-builts complete.,,,,,,,,,,,
,,,,,,,,,,,,
checklist,ITR-E-06A Entec - Receptacle for small power GPO's,,,,,,,,,,,
section,Equipment check & supports,,,,,,,,,,,
checkpoint,Check equipment and nameplate details are correct and in accordance with the data sheet and Equipment Schedule.,,,,,,,,,,,
button,Receptacle stand is the correct size and type as per the site drawings & specification,"YES, NO",,,,,,,,,,
button,Fixings are the correct type and are securely fixed.,"YES, NO",,,,,,,,,,
button,Location & height is correct as per the site drawings & specifications,"YES, NO",,,,,,,,,,
section,Outlet & accessories,,,,,,,,,,,
checkpoint,Receptacle is the correct type as per the site drawings & specifications,,,,,,,,,,,
checkpoint,Receptacle Details:,,,,,,,,,,,
textbox,Outlet fitting IP Rating:,,,,,,,,,,,
textbox,Outlet fitting Ex (if applicable):,,,,,,,,,,,
textbox,Outlet rating (Amps):,,,Amps,,,,,,,,
button,Installed undamaged,"YES, NO",,,,,,,,,,
checkpoint,Junction Box Details (if fitted):,,,,,,,,,,,
textbox,Junction fitting IP Rating:,,,,,,,,,,,
textbox,Junction fitting Ex (if applicable):,,,,,,,,,,,
button,Installed undamaged,"YES, NO",,,,,,,,,,
checkpoint,Equipment has been secured using the correct fixings and IP/ Ex rating has not been compromised.,,,,,,,,,,,
checkpoint,All spare entries have blanked off with the correctly certified plug (if applicable).,,,,,,,,,,,
checkpoint,All relevant drawings marked “As-Built”.,,,,,,,,,,,
,,,,,,,,,,,,
checklist,ITR-E-09A Entec - Earthing and lightning protection,,,,,,,,,,,
section,Earthing System Details,,,,,,,,,,,
checkpoint,Enter details here:,,,,,,,,,,,
textbox,Location of electrodes :,,,,,,,,,,,
textbox,Electrode Length / Size :,,,,,,,,,,,
textbox,Electrode type :,,,,,,,,,,,
textbox,Method of Installing electrode :,,,,,,,,,,,
textbox,No of electrodes :,,,,,,,,,,,
textbox,Drawing no.,,,,,,,,,,,
section,Installation,,,,,,,,,,,
checkpoint,"No of electrodes as per drawing, size, length material as per specifications",,,,,,,,,,,
checkpoint,"Earth pits correct as per specifications, covers, no damage",,,,,,,,,,,
checkpoint,Connections to electrodes secure,,,,,,,,,,,
checkpoint,Structural and equipment earth connections secure,,,,,,,,,,,
checkpoint,"Earth cable lugs secure, cable passes through concrete in PVC.",,,,,,,,,,,
checkpoint,"Equipment bonding, connection to main earth bar secure",,,,,,,,,,,
checkpoint,"Earth electrode identified, MEN linked installed and labelled",,,,,,,,,,,
section,Earth electrodes tests and continuity tests,,,,,,,,,,,
checkpoint,Disconnected electrode (record results),,,,,,,,,,,
textbox,Electrode 1,,,Ohm,,,,,,,,
textbox,Electrode 2,,,Ohm,,,,,,,,
textbox,Electrode 3,,,Ohm,,,,,,,,
textbox,Electrode 4,,,Ohm,,,,,,,,
textbox,Electrode 5,,,Ohm,,,,,,,,
textbox,Electrode 6,,,Ohm,,,,,,,,
textbox,Electrode 7,,,Ohm,,,,,,,,
textbox,Electrode 8,,,Ohm,,,,,,,,
checkpoint,Earth grid test results (electrodes connected),,,,,,,,,,,
textbox,HV earth grid,,,Ohm,,,,,,,,
textbox,LV earth grid,,,Ohm,,,,,,,,
textbox,Combine HV and LV earth grid,,,Ohm,,,,,,,,
textbox,Instrument Earth,,,Ohm,,,,,,,,
label,Note: Sketch of layout of earth electrodes showing electrode numbers and distances between electrodes.,,,,,,,,,,,
,,,,,,,,,,,,
checklist-flat,ITR-E-11A Entec - Electrical Equipment Switch Room,,,,,,,,,,,
checkpoint,Ensure equipment Panel / DB / MCC / Switchgear is securely mounted within the correct location as shown on general layout drawings: Equipment had been received from the store in good condition as is the correct type as per specifications & data sheets.,,,,,,,,,,,
checkpoint,Check tag number is in accordance with Electrical Equipment list Document No. etc.,,,,,,,,,,,
