type,name,values,prefix,postfix,usage count,user addable,template name,
checklist,ITP009 - Unbound Pavements (FCR & RCC),itp,,,,,FH-ZU2-QU-ITP009 - Unbound Pavements (FCR & RCC) - Rev 0,
section,"1.0 - Preliminary Activities – Permits, Documentation, Approvals, Survey Documentation",,,,,,,
checkpoint,1.1 - The current revision drawings are being used including subcontractors copy.,,,,,,,
label,Frequency - Prior to commencing works,,,,,,,
label,Acceptance Criteria - Current revision drawing is being used including the subcontractors copy. Current Revision to be obtained via Aconex,,,,,,,
label,Reference Documents - Aconex,,,,,,,
label,Inspection/Test Method - Visual inspecti on,,,,,,,
label,Record of conformity - This signed ITP,,,,,,,
label,HP*,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,"1.2 - Implementation of all measures and controls, weather, and material properties.",,,,,,,
label,Frequency - Prior to commencing works,,,,,,,
label,"Acceptance Criteria - All necessary measures and controls are being implemented, that is: PSP, EMP, TMP, SWMS & WP",,,,,,,
label,○ Check weather prior to starting any works.,,,,,,,
label,○ FCR material used for the works in accordance to VicRoads Class 2 Crushed Rock.,,,,,,,
label,○ RCC material to be used for the Works in accordance with VicRoads Class 3 Crushed Rock.,,,,,,,
label,○ Checking underlying layer ITP’s (subgrade ITP008 and select fill ITP004 has been completed),,,,,,,
label,"Reference Documents - PSP, EMP, TMP, WP SWMS, Spec Cl 4.19, Spec cl. 4.1, VicRoads Technical Note 107 Spec cl. 4.6",,,,,,,
label,Inspection/Test Method - Visual inspection,,,,,,,
label,Record of conformity - This signed ITP,,,,,,,
label,HP*,,,,,,,
label,"Responsibility - Project/Site Engineer, Foreman",,,,,,,
date,Date Completed:,,,,,,,
checkpoint,1.3 - Material Report - Fine Crushed Rock (FCR) Material & Recycle Crushed Concrete (RCC),,,,,,,
label,Frequency - 7 Days - Prior to works,,,,,,,
label,Acceptance Criteria - Material Report to be submitted 7 days prior to works to include;,,,,,,,
label,○ Source and Quarry location,,,,,,,
label,○ Quarry material is sourced from.,,,,,,,
label,○ Material rock type and petrographic description,,,,,,,
label,○ Historical test results,,,,,,,
label,○ Method of processing and transportation,,,,,,,
label,○ Material summary of the results of recent test on samples of the material from the source,,,,,,,
label,Reference Documents - Spec cl 4.20.1,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,HP,,,,,,,
label,"Responsibility - Project/Site Engineer, Principles Rep",,,,,,,
date,Date Completed:,,,,,,,
label,Principal’s Representative - Aconex Ref: Holcim RCC Class 3 - DCWC Mgt-GCOR-009582,,,,,,,
label,○ Holcim FRC Class 2 - DCWC Mgt-GCOR-009581,,,,,,,
label,○ Stirling Class 3 - DCWC Mgt-GCOR-009565,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.4 - Reference Samples,,,,,,,
label,Frequency - 5 Days prior to works,,,,,,,
label,"Acceptance Criteria - Reference samples to be submitted 5 days prior to works commencing. Two bags to be taken each weighing 25kg. One bag submitted to Client, one retained by Contractor",,,,,,,
label,Reference Documents - Spec cl. 4.20.2,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,HP,,,,,,,
label,"Responsibility - Project/Site Engineer, Principles Rep",,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.5 - Trial Section,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Acceptance Criteria - Trial section to be completed with Principles Representative approving the use of the spreading machine.,,,,,,,
label,Reference Documents - Spec cl. 4.7,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,HP,,,,,,,
label,"Responsibility - Project/Site Engineer, Principles Rep",,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,1.6 - Compaction Equipment,,,,,,,
label,Frequency - Prior to works,,,,,,,
label,Acceptance Criteria - Pneumatic tyred rollers having a weight of 27t (min roller weight can be 7t spread across 7 wheels). Tyre inflation pressure to be checked. A 15t to 20t smooth drum roller to be used.,,,,,,,
label,Reference Documents - Spec Cl 2.4.3 Item 84 Tender Clarificatio ns,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,WP,,,,,,,
label,"Responsibility - Project/Site Engineer, Principles Rep",,,,,,,
date,Date Completed:,,,,,,,
section,2.0 - Placement of Sub-basecourse and Basecourse,,,,,,,
checkpoint,2.1 - Layer Placement Parameters,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - Summary of Parameters for each Lot;,,,,,,,
label,○ A lot is defined as one layer placed in a single days production of uniform material,,,,,,,
label,○ Max Layer is 200mm,,,,,,,
label,○ Min Layer is 75mm,,,,,,,
label,"○ Final Surface Level +0mm, -10mm (excluding intermediate layers)",,,,,,,
label,"○ Shape: every 10m intervals, <7mm deviation over 3.5m straight edge (excluding intermediate layers)",,,,,,,
label,○ Material to be batched within 1% of OMC,,,,,,,
label,"Reference Documents - Spec Cl4.8, cl 4.21.2, cl 4.13",,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,2.2 - Placement Checks,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - During placement of the material check;,,,,,,,
label,○ Deliveries do not disturb underlying layer,,,,,,,
label,○ Spreading starts from crown / high side where practical.,,,,,,,
label,○ Material does not get contaminated during placement / delivery,,,,,,,
label,○ Watercart is present to condition material as required,,,,,,,
label,○ Edges are cut / removed if dry of not compacted with abutting lots,,,,,,,
label,Reference Documents - Spec Cl 4.8,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,2.3 - Compaction Check,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - During Compaction check;,,,,,,,
label,○ Heavy smooth drum roller of 15t to 20t is used for initial compaction,,,,,,,
label,○ Pneumatic roller of 27t will compact material for final consolidation.,,,,,,,
label,○ A heavy smooth drum roller (in static mode) may also be used for final consolidation,,,,,,,
label,○ Watercart Present onsite for conditioning,,,,,,,
label,○ Materials are trimmed to required shape and level,,,,,,,
label,Reference Documents - Cl 4.10,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,2.4 - Services & Culverts,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - Check if any culverts or services are with the influence zone for compaction.,,,,,,,
label,"○ A general rule, FH will seek advice from the Principles Representative if any culverts, duct banks or RCP pipe are identified closer than 1m from pavement layer surface. If identified, Fulton Hogan will maintain a 1m exclusion zone either side from centre of service for vibrating compaction activities. Hand held DPU’s/whacker plate to be used in lieu of rollers in restricted areas.",,,,,,,
label,Reference Documents - CL4.10,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,2.5 - Protection of Layer,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - Protect area from undue deterioration by;,,,,,,,
label,○ Section off area for at least 12 to 48 hours to allow material to dry back.,,,,,,,
label,"○ If unable to do so, keep traffic to a minimum",,,,,,,
label,"○ Or ensure any traffic that has to cross pavement layers, do not follow the same driving line.",,,,,,,
label,Reference Documents - Cl4.17,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,IP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,2.6 - Proof Rolling,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,"Acceptance Criteria - Proof rolling will be undertaken at the top layer surface of the imported select fill material for under pavements using a 16T smooth drum roller (minimum), or a 15kL watercart (minimum).",,,,,,,
label,○ Principles Representative to be invited to proof roll 24 hours prior to inspection.,,,,,,,
label,○ Principles Representative must witness the proof roll.,,,,,,,
label,"○ Following completion of the successful Proof Roll, Principles Representative will approve Fulton Hogan to place the next layer.",,,,,,,
label,○ Placement of next layer can occur once lot is accepted following proof roll. Proof roll inspection will satisfy pre-placement CTB inspection,,,,,,,
label,"Reference Documents - CL 4.11, CL 4.8, CL 4.16, CL 5.9",,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,"IP, HP, WP, HP, HP",,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
checkpoint,2.7 - Completion of Remedial Works (if required),,,,,,,
label,Frequency - As required,,,,,,,
label,Acceptance Criteria - Completion of remedial works or nonconforming Sub-Basecourse and/or Basecourse to be approved by Principal’s Representative before proceeding with the next layer of pavement Works.,,,,,,,
label,Reference Documents - Spec cl. 4.21.3,,,,,,,
label,Inspection/Test Method - Verify,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,HP,,,,,,,
label,"Responsibility - Project Engineer, Principal’s Representative",,,,,,,
date,Date Completed:,,,,,,,
label,Principal’s Representative - (if required),,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,
section,"3.0 - Testing, Lot Size and Compliance",,,,,,,
checkpoint,3.1 - Survey Conformance,,,,,,,
label,Frequency - Every Lot,,,,,,,
label,Acceptance Criteria - Final survey level to be checked in a 5mx5m grid to conform with -10mm to +0mm.,,,,,,,
label,○ Survey report not provided for intermediate layers of the same material type (i.e. for PT2 where multiple layers of same material type placed).,,,,,,,
label,Reference Documents - Cl 4.13,,,,,,,
label,Inspection/Test Method - Survey Report,,,,,,,
label,Record of conformity - This ITP signed,,,,,,,
label,SCP,,,,,,,
label,Responsibility - Project/Site Engineer,,,,,,,
date,Date Completed:,,,,,,,
checkpoint,3.2 - Surface Smoothness,,,,,,,
label,Frequency - Every Lot,,,,,,,
