Rich Type,Id,Warnings,type,name,values,prefix,postfix,Usage Count,User Addable,Template Name,Template Id
checklist-flat,8809f82b-3e5e-448c-92e9-13689c0d9143,,checklist,Walls,,,,1,Yes,Wall Checklist,63589c10-2e82-4bf7-9d0c-051fc4b57c5c
checkpoint-status,bfb8fa65-3a23-4638-b796-845324cf4454,,checkpoint,SAMPLES,,,,,,,
label,6e731246-bf9d-57a3-bc96-220c7a558123,,note,Submitted and approved via Multiplex sample register,,,,,,,
checkpoint-status,6c00ba61-8efc-48c4-83ab-dc27985fa2ef,,checkpoint,MATERIALS,,,,,,,
label,68a66919-db0d-55f7-9237-4dd0694c7355,,note,Checked at delivery for compliance to internal material schedule,,,,,,,
checkpoint-status,7607f382-3cdb-4565-82f2-a66eeeaa13cd,,checkpoint,SET OUT,,,,,,,
label,f839f39a-e29e-5629-86aa-7996f8c704e4,,note,As per WALL TYPE & INSULATION plans AR-0-140 series,,,,,,,
checkpoint-status,63b21f6a-cf60-4e1d-bea5-297290ef6d2a,,checkpoint,WALL FRAMING,,,,,,,
label,cbba3be1-4408-5932-9b9b-38aebe53b364,,note,Stud configeration conforms to Wall Types AR-0-230 series,,,,,,,
label,47ff25d0-f4c3-5e75-bbf7-c612bcbf766b,,note,Conforms to Rondo (building B) / Studco (buildings D/E) seismic designs (Checkpoint - either studco/rondo),,,,,,,
label,61de5463-195c-58fb-89bf-49f3f8640b9e,,note,Fixings max 600 centres,,,,,,,
label,116d68c7-024b-5602-b64e-83a92d992047,,note,Stud spacings max 600 centres- Noggin track to suit,,,,,,,
label,1b83036d-2ad6-5180-8164-033ecee17881,,note,Framing to accommodate for penetrations,,,,,,,
checkpoint-status,68d4d38b-6f43-4c94-860a-8bf676569f9d,,checkpoint,PENETRATIONS THROUGH SMOKE SEAL,,,,,,,
label,3ab89110-345b-5555-be88-12a5d264a4c4,,note,Drilled through smoke seal,,,,,,,
label,68f5375b-e470-59d6-b31c-a5c1ebb98187,,note,Vacuum clean,,,,,,,
label,7fa086c2-37a7-5e31-bf92-e593013acc77,,note,Pre-filled hole with hilti cp606,,,,,,,
label,8dd37b69-88f5-5121-8473-a47152491cf8,,note,Caulking bead full length of bottom track,,,,,,,
label,c3fbec38-da17-5902-b004-f1d819b53c09,,note,Fixed bottom track with HUSSBOLT 6mm,,,,,,,
label,217cc37d-032c-5a91-9b03-f5e7f81fa77d,,note,Caulk exposed fixing head with cp606,,,,,,,
