"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"e11f1a67-64cc-4a65-b8fb-4b2d9a468816","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard"
"7395dde4-86c7-4809-87a8-d7fd1d60f00f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor"
"11890ad3-eaf0-4753-a401-f35574837c2f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas"
"b9bac451-1926-4b9a-a426-659e6c5d0c2e","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)"
"fae98843-3809-421f-a20a-1e3e169f8f09","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)","Pre Wire"
"628a38ff-243f-4bba-ad7e-059678a0ab7f","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)","Terminated & Tested"
"3b86e18f-c04f-4060-83d5-618c3fd201f9","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Treatment Room (G-S-11)","Fit off"
"3f1ef2aa-29fc-438c-8d31-5084f835cb35","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Data Room (G-S-12)"
"dbe6bad4-0bc6-4181-a2d7-e94e9d93f471","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Data Room (G-S-12)","Pre Wire"
"98e34aa1-e9ac-4cb0-9586-a7228ac0dbb1","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Data Room (G-S-12)","Terminated & Tested"
"cc1d2036-da65-4971-9a34-e83fe345f996","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Data Room (G-S-12)","Fit off"
"854c8cc3-53ba-40d6-8b75-87044cb24d4f","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Family Room (G-C-03)"
"a9eb9ab6-272f-4748-89d7-2e15e2f59879","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Family Room (G-C-03)","Pre Wire"
"51b9bcdc-b5cb-47ad-8430-7b3f6b748050","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Family Room (G-C-03)","Terminated & Tested"
"9dcae219-9ec6-4608-9945-fc60580f45eb","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Family Room (G-C-03)","Fit off"
"6027dc6c-8aca-4ce9-96c4-16b4383bc75c","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Outside Lift 1 (G-L-01) and Lift 2 (G-L-02)"
"b45f667f-59c7-46a9-b78d-8372c0dfb79c","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Outside Lift 1 (G-L-01) and Lift 2 (G-L-02)","Pre Wire"
"b14ddf55-585f-4d63-a5c9-a96cd7a360f3","","checklist-flat","","Terminated & Tested (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Outside Lift 1 (G-L-01) and Lift 2 (G-L-02)","Terminated & Tested"
"8b954ce6-8eaa-4f81-8e15-a2be9078a10f","","checklist-flat","","Fit Off (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Outside Lift 1 (G-L-01) and Lift 2 (G-L-02)","Fit off"
"bd287ce2-2b0e-4b94-a173-7a6642f1a991","","folder-normal","","","step","TRUE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Lounge (G-C-04)"
"4bfd739e-8ed8-48be-ad9f-b90649103016","","checklist-flat","","Pre Wire (Common Areas)","checklist-flat","FALSE","FALSE","Building C and Courtyard","Ground Floor","Common Areas","Lounge (G-C-04)","Pre Wire"
