resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,step,,,Site QA,,,,,,,,
,,step,,,,Waterproofing,,,,,,,
,,step,,,,,Basement ,,,,,,
,,step,,,,,,Basement 01,,,,,
Internal Checklist,,checklist,,,,,,,Electrical Communications,,,,
Internal Checklist,,checklist,,,,,,,Sprinkler Tank,,,,
Internal Checklist,,checklist,,,,,,,Hydrant Tank,,,,
Internal Checklist,,checklist,,,,,,,OSD Tank,,,,
,,step,,,,,,Basement 02,,,,,
Internal Checklist,,checklist,,,,,,,Fire Pump Room,,,,
,,step,,,,,Ground Floor ,,,,,,
Internal Checklist,,checklist,,,,,,Security screen room,,,,,
Internal Checklist,,checklist,,,,,,Cold Water Pump room,,,,,
Internal Checklist,,checklist,,,,,,OSB,,,,,
Internal Checklist,,checklist,,,,,,Male Toilets,,,,,
Internal Checklist,,checklist,,,,,,Female Toilets,,,,,
Internal Checklist,,checklist,,,,,,Disable Toilet,,,,,
Internal Checklist,,checklist,,,,,,Entrance to loading dock,,,,,
Internal Checklist,,checklist,,,,,,Common waste,,,,,
Internal Checklist,,checklist,,,,,,Temporary penetration waste,,,,,
Internal Checklist,,checklist,,,,,,Substation chamber,,,,,
Internal Checklist,,checklist,,,,,,Garbage room,,,,,
Internal Checklist,,checklist,,,,,,Ramp to lobby,,,,,
Internal Checklist,,checklist,,,,,,Grl Residential lobby,,,,,
,,step,,,,,Level 1,,,,,,
,,step,,,,,,101,,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom ,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
,,step,,,,,,102,,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom ,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
,,step,,,,,,103,,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom ,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
,,step,,,,,,104,,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Internal Checklist,,checklist,,,,,,,Bathroom 1,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
,,step,,,,,,105,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,106,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Lobby 1,,,,
Internal Checklist,,checklist,,,,,,,Lobby 2,,,,
Internal Checklist,,checklist,,,,,,,External Common area,,,,
Internal Checklist,,checklist,,,,,,,Planter Boxes,,,,
External Checklist,,checklist,,,,,,,Awnings,,,,
,,step,,,,,Level 2,,,,,,
,,step,,,,,,201,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,202,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,203,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,204,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,205,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,206,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Balconies Checklist,,checklist,,,,,,,Balcony 2,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Common area,,,,
,,step,,,,,Level 3,,,,,,
,,step,,,,,,301,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,302,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,303,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,304,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,305,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,306,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Balconies Checklist,,checklist,,,,,,,Balcony 2,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Common area,,,,
,,step,,,,,Level 4,,,,,,
,,step,,,,,,401,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,402,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,403,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,404,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,405,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,406,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Balconies Checklist,,checklist,,,,,,,Balcony 2,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Common area,,,,
,,step,,,,,Level 5,,,,,,
,,step,,,,,,501,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,502,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,503,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,504,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,505,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,506,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Balconies Checklist,,checklist,,,,,,,Balcony 2,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Common area,,,,
,,step,,,,,Level 6,,,,,,
,,step,,,,,,601,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,602,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,603,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,604,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,605,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
,,step,,,,,,606,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
Internal Checklist,,checklist,,,,,,,Bathroom,,,,
Balconies Checklist,,checklist,,,,,,,Balcony,,,,
Balconies Checklist,,checklist,,,,,,,Balcony 2,,,,
,,step,,,,,,Other areas,,,,,
Internal Checklist,,checklist,,,,,,,Common area,,,,
,,step,,,,,Level 7,,,,,,
,,step,,,,,,701,,,,,
Internal Checklist,,checklist,,,,,,,Laundry,,,,
Internal Checklist,,checklist,,,,,,,Ensuite,,,,
