"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"db9f18d4-e166-4b96-9c21-31ecaa9f3346","","folder-normal","not-started","","step","TRUE","FALSE","Basement"
"ace0b55a-601b-4272-905f-a9d3af3355a3","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas"
"6e1e830e-d65c-445f-af8b-fac36db09b36","","folder-normal","not-started","","step","TRUE","FALSE","Basement","Common Areas","Stair 5 - Lobby"
"e7431c09-0293-4a31-a81a-44bc624f3d62","","checklist-flat","not-started","Rough In Checklist","checklist-flat","FALSE","FALSE","Basement","Common Areas","Stair 5 - Lobby","Apartment Rough In Checklist"
"1f8a7c62-9ca9-5d80-b0ec-07bc0ca56b2a","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Apartment Rough In Checklist","Area clear, tidy and accessible (attach photo)"
"b524f2fb-1c29-5b73-8dc1-8da35ad1b08c","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Apartment Rough In Checklist","Previous substrate acceptable - Walls framed and timber studs installed"
"f08e07df-dc4d-57a1-af52-25475ea7fedf","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Apartment Rough In Checklist","Cavity pockets installed"
"052a7a6e-2a36-492a-b1a9-98830c008a98","","checklist-flat","not-started","Installation","checklist-flat","FALSE","FALSE","Basement","Common Areas","Stair 5 - Lobby","Installation"
"910bb4f4-d682-5c9a-875f-56ca007caf66","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Internal doors hung"
"c34f1996-8803-5dae-a77a-9cbf7345a88e","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Skirting installed"
"86e7a6dc-e960-52bc-969a-e09cacbfca9f","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Cavity doors installed"
"eda457eb-f744-5216-b417-d8ad3ac6f6ea","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Window architraves installed"
"f0dff276-bf75-563d-a693-dc3a41080217","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Wardrobe jamb installed"
"d791f4cb-dfa4-5851-87ea-df501a9d66c7","","checkpoint-status","not-started","","","TRUE","TRUE","Basement","Common Areas","Stair 5 - Lobby","Installation","Entry door hung"
