type,name,values,prefix,postfix,usage count,user addable,template name,Resource ID,,,,,,,
checklist,ITP-191-CIV-SSB-Lighting-MTM Carpark,itp,,,,,ITP-191-CIV-SSB-Lighting-MTM Carpark Rev 0,,,,,,,,
section,Referenced Documentation,,,,,,,,,,,,,,
checkpoint,Referenced Documentation,,,,,,,,,,,,,,
label,Document Title: ITP-191-CIV-SSB-Lighting-MTM Carpark,,,,,,,,,,,,,,
label,ITP Description: SSB-Lighting-MTM Carpark,,,,,,,,,,,,,,
label,Discipline (e.g. CIV/STR/RAIL): 191-CIV,,,,,,,,,,,,,,
label,Revision Number: 0,,,,,,,,,,,,,,
label,Revision Date: 21/08/2024,,,,,,,,,,,,,,
label,ITP created by: VM,,,,,,,,,,,,,,
label,ITP approved for use by: VM,,,,,,,,,,,,,,
label,1.1 Non Dependent,,,,,,,,,,,,,,
label,Reference: L1-CHE-STD-059,,,,,,,,,,,,,,
label,1.2 Non Dependent,,,,,,,,,,,,,,
label,Reference: L1-CHE-STD-035,,,,,,,,,,,,,,
label,1.3 Non Dependent,,,,,,,,,,,,,,
label,Reference: L1-CHE-SPE-155,,,,,,,,,,,,,,
label,1.4 Non Dependent,,,,,,,,,,,,,,
label,Reference: AS/NZS 3000,,,,,,,,,,,,,,
label,1.5 Non Dependent,,,,,,,,,,,,,,
label,Reference: AS/NZS 1158.3.1 (2020) ,,,,,,,,,,,,,,
label,1.6 Non Dependent,,,,,,,,,,,,,,
label,Reference: A9819,,,,,,,,,,,,,,
section,Preliminaries-Materials,,,,,,,,,,,,,,
checkpoint,2.1 Obtain and review manufacturer documentations for the supply of materials,,,,,,,,,,,,,,
label,"REFERENCE: L1-CHE-STD-035, AS/NZS 2053, IFC Drawings",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Materials comply with MTM Engineering stadard Lighting and Powerrelevant specifications.,,,,,,,,,,,,,,
label,"○ All materials shall comply with the standards and specifications shown on the drawings. All structural steel, associated components and welding consumables shall be manufactured by companies that hold quality systems certification to AS/NZS ISO 9001.",,,,,,,,,,,,,,
textbox,* Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.2 Concrete,,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Concrete complies mix complies with VR 400/40.,,,,,,,,,,,,,,
label,○ Pile Concrete Grade at 28 days shall be 40 Mpa.,,,,,,,,,,,,,,
textbox,* Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.3 Reinforcement (Cage),,,,,,,,,,,,,,
label,REFERENCE: IFC Drawings VR 611.05,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Reinforcement cages shall be according to IFC Drawings,,,,,,,,,,,,,,
label,"○ Reinforcement complies with VicRoads Section 611.05 (a) & (b), and AS4671 (ACRS)",,,,,,,,,,,,,,
textbox,* Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: Nominated Authority,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: ConQA Hold Point Release,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
holdpoint,AUTHORITY HOLDPOINT,,,,,,,,,,,,,,
checkpoint,2.4 HD Bolts assemblies,,,,,,,,,,,,,,
label,"REFERENCE: A9819, VR 630.20",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: HD bolt assemblies as per IFC drawings,,,,,,,,,,,,,,
label,"○ All HD bolts are grade 4.6/S, galvanised",,,,,,,,,,,,,,
label,○ All nuts and washers to be galvanised,,,,,,,,,,,,,,
textbox,* Enter: Teambinder Material Approval number,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY:,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY:,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS:,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,2.5 Inspect supplied items upon delivery,,,,,,,,,,,,,,
label,"REFERENCE: QMP, L1-CHE-SPE-155",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"ACCEPTANCE CRITERIA: Supplied items are to correct spec, class, size and undamaged",,,,,,,,,,,,,,
label,"○ Luminaires: At the time of delivery, the supplier shall provide three hard copies of the following:",,,,,,,,,,,,,,
label, – Installation Instruction Manual,,,,,,,,,,,,,,
label, – Operation Instruction Manual,,,,,,,,,,,,,,
label," – Storage, handling, loading and off–loading instructions",,,,,,,,,,,,,,
label, – Test Certificates,,,,,,,,,,,,,,
label, – Warranty Information,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Visual /Site Inspection & Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: This ITP, Attach records required",,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Preliminaries-Related Works,,,,,,,,,,,,,,
checkpoint,3.1 Conduit & pit installation,,,,,,,,,,,,,,
label,"REFERENCE: L1-CHE-STD-035, IFC Drawings",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Conduit and Pit Installation works are to be recorded under ITP-183-CIV-SSB-Conduits and Pits-MTM Carpark lighting in addition to Subcontractors Checklist.,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,METHOD: Document Review,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each Lot,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: This ITP,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Pre-Construction Works,,,,,,,,,,,,,,
checkpoint,4.1 Survey Set Out,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings,",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Survey to set out position of piles.,,,,,,,,,,,,,,
label,Attach: Lot Map,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"METHOD: Visual, Documen Review",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each bore,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: HP*,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,RESPONSIBILITY: SE/PE/SPE,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"VERIFYING DOCUMENTS: Attached Geotechnical Report, Attached Lot Map",,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
section,Construction,,,,,,,,,,,,,,
checkpoint,5.1 Prepare the footing foundation (Excavation & levels),,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings, Manufacturer specifications",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,ACCEPTANCE CRITERIA: Check levels and diameter conform to manufacturer drawings depending on type of pole to be installed. Foundations to be installed as per manufacturer specification and requirements. ,,,,,,,,,,,,,,
label,○ Pile holes to be inspected by Geotechnical Engineer.,,,,,,,,,,,,,,
label,Attach: Geotechnical Report,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"METHOD: Visual, Document Review",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,FREQUENCY: Each bore,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,CATEGORY: IP,,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,"RESPONSIBILITY: SE/PE, Geotechnical Engineer",,,,,,,,,,,,,,
label,– – – – – – – – – – – – – – – – –,,,,,,,,,,,,,,
label,VERIFYING DOCUMENTS: Attached Geotechnical Report,,,,,,,,,,,,,,
date,Date Completed:,,,,,,,,,,,,,,
checkpoint,5.2 Installation of reinforcement cage,,,,,,,,,,,,,,
label,"REFERENCE: IFC Drawings, Manufacturer specifications A9819",,,,,,,,,,,,,,
