"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0b47e397-7b30-4f16-91ec-307e81a30678","","not-started","","folder","TRUE","FALSE","Site QA"
"2d9a8a2a-3999-450a-882a-c62f25f55ff4","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 1"
"de52059d-8b60-4042-b1e0-6551910828f5","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 1","Internal Stormwater"
"e8e20d50-102a-4b52-b0c9-9a1a882bc1bf","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 1","Internal Drainage"
"8417c7d9-d69f-412c-ad9a-5988a7633783","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 2"
"af9a6563-be5f-4aa1-969c-4bc7275ea5ca","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 2","Internal Stormwater"
"9641a31a-96dd-4d47-8c26-30260ea02ab6","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 2","Internal Drainage"
"09b0bcc0-a4a0-4a70-9373-88a68d43125a","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 2","Commissioning/Handover & Testing Checklist"
"979e45d2-4ced-4e87-9424-e82c7bedf68f","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 3"
"48547a8b-f665-47e0-994c-532e1efa1da2","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 3","Internal Stormwater"
"4731fa8a-f02b-44c8-ae95-60e46640b487","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 3","Internal Drainage"
"4f6dbe01-9ba2-49c8-8730-5d5bd9f4aff0","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 3","Commissioning/Handover & Testing Checklist"
"7c9d8810-a26f-460c-9502-91a67eb61248","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 4"
"ab3b4a66-9d17-4059-a043-4a6ba98a2aac","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 4","Internal Stormwater"
"39a97685-0e2b-456e-805b-0d291878f6df","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 4","Internal Drainage"
"e030d138-5f1b-4e0e-a615-b3cac5bdab83","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 4","Commissioning/Handover & Testing Checklist"
"b8ba8f5f-1d94-4f69-b6ee-b5977490ddf7","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 5"
"b4a5e33f-d47e-416c-9fa8-72ef61ff2983","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 5","Internal Stormwater"
"8b4c553a-d472-4e2e-8557-e1e5b794ceba","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 5","Internal Drainage"
"af7568bf-4392-4acb-909c-d8fcae16df30","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 5","Commissioning/Handover & Testing Checklist"
"455e8e3d-e7b5-4ce6-a5e3-857380c93866","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 6"
"7759110d-c9e7-4401-9e49-fb0d6dc61f85","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 6","Internal Stormwater"
"705e05d5-390b-4b56-b821-af534a911890","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 6","Internal Drainage"
"61f39f7d-a287-4d09-a8f3-14cfcc151141","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 6","Commissioning/Handover & Testing Checklist"
"7a3827be-987e-42cd-8e91-aeb1a1edea3b","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 7"
"d16d84af-7fae-46af-93df-731f528dcfc3","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 7","Internal Stormwater"
"6b253af3-74f4-4456-be52-efb2852d200d","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 7","Internal Drainage"
"2fe1baa9-4a04-4989-8395-7a99210b29ea","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 7","Commissioning/Handover & Testing Checklist"
"c0aed744-3a38-4268-bbe9-e595db845022","","not-started","","folder","TRUE","FALSE","Site QA","Townhouse 8"
"33da59b0-7265-42c3-9569-a94aa5f36c46","","not-started","Internal Stormwater","checklist","FALSE","FALSE","Site QA","Townhouse 8","Internal Stormwater"
"d61809ea-d261-4821-9dbb-741db37fdaff","","not-started","Internal Drainage","checklist","FALSE","FALSE","Site QA","Townhouse 8","Internal Drainage"
"9c743ab9-be0f-4402-bb20-4ccc3d0a042f","","not-started","Commissioning/Handover & Testing Checklist","checklist","FALSE","FALSE","Site QA","Townhouse 8","Commissioning/Handover & Testing Checklist"
