Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Overall Progress,,,,,
,Scope,,,,
,Rows,,,,
,,Unit 1,dynamic,Unit 1,
,,Unit 2,dynamic,Unit 2,
,,Unit 3,dynamic,Unit 3,
,,Unit 4,dynamic,Unit 4,
,,Unit 5,dynamic,Unit 5,
,,Unit 6 ,dynamic,Unit 6 ,
,,Unit 7 ,dynamic,Unit 7 ,
,Columns,,,,
,,"Is the area clean, & cleared, ready for necessary preparation",,"Is the area clean, and cleared, ready for necessary preparation",
,,Tile & slate underlay installed to bathroom floors ,,Tile and slate underlay installed to bathroom floors ,
,,Are flanges installed at correct depth in accordance with specified wastes,,Are flanges installed at correct depth in accordance with specified wastes,
,,Has screeding been completed to shower at correct height & falls - R4 screed,,Has screeding been completed to shower at correct height and falls - R4 screed,
,,"All falls to shower base, or outside shower are correct & signed off by site manager",,"All falls to shower base, or outside shower are correct and signed off by site manager",
,,Waterproof materials applied to floor perimeter & gaskets to flanges,,Waterproof materials applied to floor perimeter and gaskets to flanges,
,,Waterproofing coat # 1 applied to floors & walls,,Waterproofing coat # 1 applied to floors and walls (take photos),
,,Waterproofing coat # 2 applied 90 degrees to 1st coat,,Waterproofing coat # 2 applied 90 degrees to 1st coat (take photos),
,,"Flood tests, if required, undertaken & photos provided. ",,"Flood tests, if required, undertaken and photos provided. ",
,,Tiles set out according to latest drawing - always check revisions on site,,Tiles set out according to latest drawing - always check revisions on site,
,,Specified product used with notched trowel or required product,,Specified product used with notched trowel or required product,
,,Correct spacer size used for spacing as per specs & tile lipping within BRANZ tolerances,,Correct spacer size used for spacing as per specs and tile lipping within BRANZ tolerances,
,,"Floor/Wall substrate straight, signed off by MC, & ready for installation",,"Floor/Wall substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",
,,Install tiles to floor including atlantis shower tray ,,Install tiles to floor including atlantis shower tray ,
,,Skirting tiles done to perimeter of bathroom outside shower ,,Skirting tiles done to perimeter of bathroom outside shower ,
,,Wall tiles set out to match floor grout lines or as per drawings install tiles to shower walls ,,Wall tiles set out to match floor grout lines or as per drawings install tiles to shower walls ,
,,Grout nominated is the correct colour & applied evenly & correctly,,Grout nominated is the correct colour and applied evenly and correctly,
,,Grout is consistent throughout & no missing grout. ,,Grout is consistent throughout and no missing grout. ,
,,"Tiling completed, checked & Supervisor sign off",,"Tiling completed, checked and Supervisor sign off",
,,Silicone is completed to all tile junctions where required,,Silicone is completed to all tile junctions where required,
,,Area left clean & tidy,,Area left clean & tidy,
,,Builders clean completed,,Builders clean completed,
,,"Wall substrate straight, signed off by MC, & ready for installation",,"Wall substrate straight, signed off by MC, and ready for installation. (insert notes for remediation if required)",
,,Splashback Tiles set out as per drawings ,,Splashback Tiles set out as per drawings ,
,,Tiles to walls ,,Tiles to walls ,
,,"Tiling is completed, checked & supervisor to sign on",,"Tiling is completed, checked and supervisor to sign on",
,,Silicone nominated is the correct colour & applied evenly & correctly,,Silicone nominated is the correct colour and applied evenly and correctly,
,,Correct tiles trim is supplied & installed as per drawings ,,Correct tiles trim is supplied and installed as per drawings ,
