Id,Type,Name,Values,Prompting Name,Postfix,Resource Id,
,checklist,ITP - Foam Bitumen Stabilisation - Pre Treatments Rev 2,itp,ITP - Foam Bitumen Stabilisation - Pre Treatments,,7dbd1865-b28c-4130-812d-582981eecfe7,
,section,2.0. BEFORE BITUMEN STABILISATION STARTS,,,,,
,checkpoint,2.01 - Setout section,,,,,
9986ba90-c19e-53d7-b6d6-543561667f35,note,"Detail of Activity / Test - Install offset pegs / check geometric model; record centreline, edge line or mark out stabilisation extents from existing line marking",,,,,
d42cc76d-8c2c-5f25-9fdb-b5a43a1d8d6a,note,"Action (Hold, Monitor, Witness) - H",,,,,
50fd8f32-62cf-51f6-ac17-c53fbd7cbc91,note,Minimum Test Frequency - Prior to each section,,,,,
04e2fb85-c450-58d6-b7f8-ba471b0d3495,note,Inspection / Test method - Survey,,,,,
d59bd00e-cbe4-5658-8e55-bc7191d452b2,note,Acceptance Criteria - Document existing furniture,,,,,
aebf6bc9-949e-510f-b1b0-f77b7dcd0b8e,note,Record documents (QCP - Quality Control Portal) - Electronic survey files,,,,,
c2209223-fd6f-5f44-bf2b-643faf798da6,note,Responsibility - Contractor,,,,,
b35cdc80-4ade-57cf-be0b-80128ce338e5,note,Eng. Rep - I,,,,,
62925157-f9bd-5bd5-a326-d480d3964f1b,note,Contractor - R,,,,,
,signoff,AUTHORITY HOLDPOINT,,,,,
,checkpoint,2.02 - Setout section,,,,,
,note,"Detail of Activity / Test - Install offset pegs / check geometric model; record centreline, edge line or mark out stabilisation extents from existing line marking",,,,,
,note,"Action (Hold, Monitor, Witness) - H",,,,,
,note,Minimum Test Frequency - Prior to each section,,,,,
,note,Inspection / Test method - Survey,,,,,
,note,Acceptance Criteria - Document existing furniture,,,,,
,note,Record documents (QCP - Quality Control Portal) - Electronic survey files,,,,,
,note,Responsibility - Contractor,,,,,
,note,Eng. Rep - I,,,,,
,note,Contractor - R,,,,,
,signoff,AUTHORITY HOLDPOINT,,,,,
,checkpoint,"2.03 - Pre-hoe, shape and proof roll",,,,,
e86205a7-3a5e-544d-af31-274cae7c83d3,note,Detail of Activity / Test - Pre-hoe to depth specified and shape as instructed in the site spcific methodology statement and/or IFC drawings and proof roll while compacting,,,,,
