Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,
In Ground Drainage Services,,,,,,
,Scope,,,In Ground Drainage Services,,
,Rows,,,,,
,,Stormwater (in-ground),,Stormwater (in-ground),In Ground Drainage Services,
,,Sewer (in-ground),,Sewer (in-ground),In Ground Drainage Services,
,,Trade Waste (in-ground),,Trade Waste (in-ground),In Ground Drainage Services,
,,Cold Water,,Cold Water,In Ground Drainage Services,
,Columns,,,,,
,,Zone 1,,Zone 1,,
,,Zone 2,,Zone 2,,
,,Zone 3,,Zone 3,,
,,Zone 4,,Zone 4,,
,,Zone 5,,Zone 5,,
,,Zone 6,,Zone 6,,
,,Zone 7,,Zone 7,,
,,Zone 8,,Zone 8,,
,,Zone 9,,Zone 9,,
,,Zone 10,,Zone 10,,
,,Zone 11,,Zone 11,,
,,,,,,
Penetrations,,,,,,
,Scope,,,Penetrations,,
,Rows,,,,,
,,Fresh Food,dynamic,Fresh Food,Penetrations,
,,Lower Ground,dynamic,Lower Ground,Penetrations,
,,Ground,dynamic,Ground,Penetrations,
,,Level 1,dynamic,Level 1,Penetrations,
,Columns,,,,,
,,All works to be set our as per approved IFC drawings.,,All works to be set our as per approved IFC drawings. Works set out to IFC Drawing No.,,
,,All penetrations & fire collars to be as per specifications,,All penetrations and fire collars to be as per specifications or alternatively approved,,
,,Ensure fire collars installed as per manufacturer’s instructions,,Ensure fire collars are installed as per manufacturer’s instructions.,,
,,Tabs on cast in collar to be exposed,,Tabs on cast in collar to be exposed.,,
,,Photos of collar end labelling referencing fire matrix if required,,Photos of collar end labelling referencing fire matrix if required,,
,,Ensure all excess material removed from work area/clean & tidy,,Ensure all excess material is removed from work area & leave clean & tidy.,,
,,,,,,
Suspended Drainage Services,,,,,,
,Scope,,,Suspended Drainage Services,,
,Rows,,,,,
,,Storm Water (suspended),grouping,Storm Water (suspended),,
,,Storm Water (suspended) - Fresh Food,expanded,Fresh Food,Storm Water (suspended),Suspended Drainage Services
,,Storm Water (suspended) - Lower Ground,expanded,Lower Ground,Storm Water (suspended),Suspended Drainage Services
,,Storm Water (suspended) - Ground,expanded,Ground,Storm Water (suspended),Suspended Drainage Services
,,Storm Water (suspended) - Level 1,expanded,Level 1,Storm Water (suspended),Suspended Drainage Services
,,Sewer (suspended),grouping,Sewer (suspended),,
,,Sewer (suspended) - Fresh Food,expanded,Fresh Food,Sewer (suspended),Suspended Drainage Services
,,Sewer (suspended) - Lower Ground,expanded,Lower Ground,Sewer (suspended),Suspended Drainage Services
,,Sewer (suspended) - Ground,expanded,Ground,Sewer (suspended),Suspended Drainage Services
,,Sewer (suspended) - Level 1,expanded,Level 1,Sewer (suspended),Suspended Drainage Services
,,Trade Waste (suspended),grouping,Trade Waste (suspended),,
,,Trade Waste (suspended) - Fresh Food,expanded,Fresh Food,Trade Waste (suspended),Suspended Drainage Services
,,Trade Waste (suspended) - Lower Ground,expanded,Lower Ground,Trade Waste (suspended),Suspended Drainage Services
,,Trade Waste (suspended) - Ground,expanded,Ground,Trade Waste (suspended),Suspended Drainage Services
,,Trade Waste (suspended) - Level 1,expanded,Level 1,Trade Waste (suspended),Suspended Drainage Services
,Columns,,,,,
,,Zone 1,,Zone 1,,
