"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"4f9ba366-ad64-4213-a85c-9de4e162e345","","folder-normal","work-in-progress","","step","TRUE","FALSE","BASEMENT"
"2c786fa7-8b5a-4e6e-bad7-eb60e7d42036","","folder-normal","work-in-progress","","step","TRUE","FALSE","BASEMENT","COLUMNS"
"b370301b-31f1-45b1-acef-53dd3559b132","","checklist-sectioned","work-in-progress","e05bb294b90756210e81611c028ed9f23f18aa057832964e9b09435d72144b06","checklist","FALSE","FALSE","BASEMENT","COLUMNS","1BC02"
"804f54a8-0b6e-5003-9cf8-a69eea668ab8","","checkpoint-group","pass","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Drawing"
"cba44541-97a6-5842-beca-695777ff822b","","checkpoint-status","pass","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Drawing","Revision No - Attach photo of drawing below &/Or input details"
"3a79f1e9-9527-5a37-9a86-c162321ecf23","","checkpoint-group","not-started","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Panel Properties"
"8bac1176-a802-5740-b2ab-0a321b44a01e","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Panel Properties","Properties - Pass once entered"
"a4f53024-a188-5076-8ac3-fe4d449809b6","","checkpoint-group","not-started","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Formwork"
"c1f64781-6b66-5c52-ba33-abf34e162355","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","Correct Dimensions & Square"
"e6cd38df-3def-53f3-b0fe-4d35818d7bb3","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","Grout tube set out"
"d28a9c54-2d96-5efd-9134-f32a9439f485","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","Magnets Locked Down"
"05972bfe-d882-5f4b-b75d-c6ec9b1ee2c2","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","Fillet Installed"
"c81de757-dc21-5bad-b0be-8e50fb26fd55","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","ID TAG Installed (photo required)"
"993a5aaf-b7cf-5d54-bc07-c19f0d04f9ee","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Formwork","Starter bars & couplers (photo required)"
"02b81dd5-34ba-5900-8c47-3d8909264d6e","","checkpoint-group","not-started","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Reinforcement"
"19cc7b96-606c-52fb-96e9-260f843c271f","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Correct Mesh/Cage (photo required)"
"6d4c6deb-0c39-5173-a831-f67600667875","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Correct Lig Spacing/Mesh Centers"
"e2008b1f-8db9-531f-8bc1-8972dca07d3f","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Correct Cover"
"6a290a5f-4674-5ead-91eb-35eb9ddc1bbd","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Lifter location & Type Correct (photo required)"
"bceb4dc2-84ef-5fac-bccb-5ad456163155","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Starter bars & couplers (photo required)"
"81eedf7c-7a09-5229-8741-5fd8e8684b52","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Strongbacks installed - If required"
"c5507c3d-ab06-5f9f-a23b-4ce3618b88cc","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Engineer Shop Drawings attached - (photo required)"
"f45356c3-9e11-5ccc-bd46-1b1aa30c2610","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Reinforcement","Ferrues Installed - (photo required)"
"9011bb7d-7e82-5b6b-b549-1198e4bf2509","","checkpoint-group","not-started","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Concrete"
"03c0717d-0c43-53f3-9b5c-2a9b4be9d419","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Concrete","mPA Correct -> Concrete Docket - (photo required)"
"320cb8ac-eea7-56a0-8e08-f6f87d84829d","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Concrete","Concrete Test"
"c9905a34-3829-520a-a49b-d1ef17f212cb","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Concrete","Concrete Test Report - (photo required)"
"c1c532f2-209d-512f-abdc-a7ad3ad17f0d","","checkpoint-group","not-started","","","FALSE","FALSE","BASEMENT","COLUMNS","1BC02","Post Pour"
"a36bbb3c-0475-5f86-a407-731fa20a91d8","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Ferrules exposed"
"2e08b8cb-6d95-502c-b523-407cb917175e","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Grout Tubes Open"
"dc4b12ef-fe4f-59a4-9920-cb7737ebd28a","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Lifters installed central to panel"
"a664043f-c607-5146-9e3b-dc35ef93e984","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Lifters Cleaned"
"7a857825-8d67-5c32-948b-dc78b1a987d4","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Patching required - Pass=No / Fail=Yes"
"1217e917-6512-5e88-9837-c5a3e019e460","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","ID TAG filled out and correct"
"cb8339d9-ee5b-5839-ae03-cebf201f18d2","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Strongbacks installed - (photo required)"
"faaa942e-87f1-528e-b2aa-f5253e739792","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Chamfers Installed"
"8c7517e1-de42-5fa3-af9b-fbe895bc2fd9","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Panels QA sticker completed"
"a52a7895-7b78-5909-bc92-6cd8194bce99","","checkpoint-status","not-started","","","TRUE","TRUE","BASEMENT","COLUMNS","1BC02","Post Pour","Panel ready for delivery, damage free"
