"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"13233fd4-68b2-4dda-b108-816180a22827","","folder-normal","work-in-progress","","step","TRUE","FALSE","Office "
"5c5ba5ba-f9cc-4a40-9823-014c9cf7de08","","folder-normal","work-in-progress","","step","TRUE","FALSE","Office ","Disabled bathroom"
"8f742ef6-288c-4774-be3e-0240fd08ebef","","checklist-flat","work-in-progress","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Disabled bathroom","Toilet"
"04614e5a-05d1-41fe-8d33-5df1132c9108","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Disabled bathroom","Basin"
"da6e807f-5d3c-4af0-a36a-6d696c5fc214","","checklist-flat","pass","Shower Checklist","checklist-flat","FALSE","FALSE","Office ","Disabled bathroom","Shower"
"17511f37-afea-4917-8dd3-4726738d8787","","folder-normal","pass","","step","TRUE","FALSE","Office ","Female toilets"
"00b1a2d4-a2b3-45b9-9a5f-27672ff3b738","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Female toilets","Toilet"
"6b4670ed-b12f-41eb-ba8f-29f628ebacfb","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Female toilets","Basin"
"e291bc61-126f-4f27-9448-6bcfcd268d41","","checklist-flat","pass","Shower Checklist","checklist-flat","FALSE","FALSE","Office ","Female toilets","Shower"
"cd2c1aff-5d7c-458b-873c-f2c6336a1999","","folder-normal","pass","","step","TRUE","FALSE","Office ","Male toilets"
"a1afbf62-01fc-464e-9377-52c3296be728","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Male toilets","Toilet 1"
"9f42c686-c27a-4fe6-8db3-ab0325172739","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Male toilets","Toilet 2"
"14529353-5f65-4773-add8-10bf0f44e606","","checklist-flat","pass","Shower Checklist","checklist-flat","FALSE","FALSE","Office ","Male toilets","Shower"
"98486346-6a11-4953-89a0-4e1115e1c417","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Office ","Male toilets","Urinal 1"
"aee4affd-e3ca-4d91-a16b-631d6bce0022","","checklist-flat","pass","Photos","checklist-flat","FALSE","FALSE","Office ","Male toilets","Urinal 2"
"6fc2c300-0ad4-4926-86cd-d97d49f2cced","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Male toilets","Basin 1"
"31f493c5-f29a-48db-b7de-381a1e99035d","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Male toilets","Basin 2"
"899d1d7a-213e-4c13-aea3-c49421da5d5e","","folder-normal","not-started","","step","TRUE","FALSE","Office ","Cleaners cupboard"
"36a20d6f-d939-49f1-9c48-bc97173d713c","","checklist-flat","not-started","Photos","checklist-flat","FALSE","FALSE","Office ","Cleaners cupboard","Cleaners tub"
"f4501e55-5445-4190-8532-c8d6f2f48c0c","","checklist-flat","not-started","Hot Water Cylinder Checklist","checklist-flat","FALSE","FALSE","Office ","Cleaners cupboard","Hot Water Cylinder"
"687572eb-0c2c-4dd4-9359-ac727136b466","","folder-normal","pass","","step","TRUE","FALSE","Office ","Level 1 -powder room 1"
"e85fdfed-d17b-4d63-a6d5-050826fd3bbd","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Level 1 -powder room 1","Toilet"
"09f763df-6f8b-4530-9eb8-15ed0b62067c","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Level 1 -powder room 1","Basin"
"a8e3e74e-a2f8-4f2e-9f56-1990fd668101","","folder-normal","pass","","step","TRUE","FALSE","Office ","Level 1 -powder room 2"
"61947dda-6b68-4801-a3f1-cb93c0f55d07","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Office ","Level 1 -powder room 2","Toilet"
"4ba6d4c3-820f-4d7a-a5a2-ffdeb93d6721","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Office ","Level 1 -powder room 2","Basin"
"d3b72e69-b204-4f10-8343-9f4251958a6f","","folder-normal","pass","","step","TRUE","FALSE","Office ","Level 1 kitchen"
"fb5a6653-5964-4d56-bbbf-fe2ef2be1937","","checklist-flat","pass","Kitchen Checklist","checklist-flat","FALSE","FALSE","Office ","Level 1 kitchen","Kitchen Sink"
"8d459f17-e9fb-4470-9ffd-bf27b7f48847","","checklist-flat","not-applicable","Photos","checklist-flat","FALSE","FALSE","Office ","Level 1 kitchen","Dishwasher"
"e887db5f-2457-41af-9ac7-eb7eb9a9ff29","","folder-normal","pass","","step","TRUE","FALSE","Factory"
"37d47e3b-a14e-42a0-b40f-392f49216396","","folder-normal","pass","","step","TRUE","FALSE","Factory","Toilet 1"
"3fc58acb-7f5b-403c-aca7-d66a65b655fd","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Factory","Toilet 1","Toilet"
"0f5d8c70-4d73-4e7b-90e4-84d610841f89","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Factory","Toilet 1","Wash Hand Basin"
"d5a45f04-a73b-4119-b562-a615bf8bd049","","folder-normal","pass","","step","TRUE","FALSE","Factory","Toilet 2"
"635f427a-16a6-42d9-8995-e958b7968317","","checklist-flat","pass","Toilet Checklist","checklist-flat","FALSE","FALSE","Factory","Toilet 2","Toilet"
"d84f60d4-a2e3-49cd-b0bf-02c9437aa1c6","","checklist-flat","pass","First Fix Checklist","checklist-flat","FALSE","FALSE","Factory","Toilet 2","Wash Hand Basin"
