"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"0263d9c4-7e44-47e1-b13b-4311d12fc2f5","","checklist-flat","no-status-started","Project Details","checklist-flat","FALSE","FALSE","Job Details"
"53773ad8-29ca-418d-9c53-61b97c62b58c","folder-normal has incorrect meta.stepType folder-progress","folder-normal","fail","","step","TRUE","FALSE","RSB Electrical QA"
"c12de540-eb4b-41e6-b63b-7e5bf0f16be9","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01"
"e0670424-0a13-42a2-bead-ed2d30d07478","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Main Switchboard"
"128fc72e-3e02-41c5-b5de-ced0789a56c8","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Main Switchboard","MSB 1.05"
"1ed9c17c-6f10-4ab8-8f14-8daa3b9f08fd","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Main Switchboard","MSB 1.08"
"9d87af69-804f-4b84-a002-60324d2b070a","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Distribution Boards"
"bea4ed03-7bbc-49ba-bac6-f87228e2817c","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"03df39c8-129f-4a57-b25f-7450f9d32fd3","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"3ee71edd-ab74-47e7-a24e-caf4ba85f2f1","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"7e69ef90-a110-4e3f-bfe5-d344d67f7d7a","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"27763ade-e993-4f54-b0cd-5cfd086d8ef6","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"9a8e4f02-ca84-4a3c-ae4f-79643c6fb4cd","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"46cd89cd-e19d-460d-8d69-3e08e9ebbcd0","","checklist-sectioned","not-started","Distribution Board","checklist","FALSE","FALSE","RSB Electrical QA","B01","Distribution Boards","Distribution Board checklist"
"10190676-911b-453c-9be5-829ae666024f","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays"
"c4af46ee-d38a-473f-9e45-75fed7f9e3c6","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"4c933185-955c-48f0-8f6a-a67f7ca26ba6","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"760df78b-947e-4bed-9b5e-ad0ffa1f3720","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"1e0961e1-9277-46f1-9622-4bbee350afa7","","checklist-flat","not-started","B03 - Cable tray checklist","checklist-flat","FALSE","FALSE","RSB Electrical QA","B01","Cable Ducts & Trays","Cable tray checklist"
"a02df0a4-4396-4c69-a16a-0f82df93c228","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A"
"a5dd00d8-cb8c-4520-a493-01233bf1d6e7","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power"
"c4ca7bb0-3df9-455f-9d48-0c498bc6db6a","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix"
"4918d3eb-8e5c-4349-9e71-c1482135b9f1","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement"
"ac93c0ff-9ddb-4e67-82ec-4d5a66e231bd","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Carpark"
"ec249d1d-be53-4750-9001-657614fae5fb","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Comm Area"
"f7364f72-b0ca-45f5-aa4a-51ca49dc3b46","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Pool Treatment Room"
"c5f6b5b0-db48-465a-8725-34d4ce9c6b49","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Resident workshop"
"9060b0ff-da0f-46a6-ab1e-55d3a2b277d7","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Lobby"
"581aac7f-659e-4353-83f9-15c6faf403d8","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Basement","Spa"
"ffb51818-a754-4ec5-9513-f7c2e6cfad2f","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level"
"93235318-e012-47a8-8e8e-3c5e5876b40a","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Gym"
"34322fcd-8acf-4eff-9136-f58b78bbe3df","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Foyer"
"a804bd57-cba8-4982-8fee-f98c80b9a218","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Lobby"
"0c2a42e1-a637-4eeb-ba9e-56689e3192f7","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Manager room"
"af7bd7bb-5e69-43aa-a7d6-1c1e4d869f9e","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Meeting room"
"5a796eb8-4546-4506-8ee4-d5aaedf43048","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Office  Room"
"59c77d9e-a39a-4a70-9296-7cd791a8317b","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Print room"
"f710f846-2bcc-4bc8-80b4-92bb0b91fa66","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","PABX room"
"4ea2b982-5561-49d4-a4ec-42168fb8917b","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Pool changing 1"
"124ba1d9-07fb-4b4d-a916-ca8c948545d5","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Pool changing 2"
"6e3f19f8-be3c-4dd8-ba1a-8f292ab51b2f","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Sales room"
"86e3fde1-9a72-486d-9b26-bbac93e4ab44","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Services room"
"08543b3c-2fcd-4217-85de-0b6927be5f2f","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Storage room"
"fcb45e08-0d76-4810-a102-b55b01c125f8","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Swimming pool room/spa room"
"af130935-c8dc-47e9-8109-5e2bb83f54f7","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Reception"
"03cc9aa8-fe9b-4a07-83c0-2fd136470fe4","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Valve room"
"14c8f214-3740-4859-9a40-7f773eadc3c4","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Bed G1"
"e3cea35e-e4cc-4bc3-a588-2d4520008259","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Bed G2"
"d5ef536f-ada6-4c4b-80a9-d1584cec61eb","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Bed G3"
"bc0fadd8-6d72-4977-abd2-edc321e05fe6","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Ground Level","Bed G4"
"f02111b3-31dc-465d-87e3-d9d4e5e7309a","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1"
"114c95b4-def9-4ba9-a249-66692c4bb53c","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","VC Lounge"
"4e294f81-f071-4c8d-b589-efd0af1e074b","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Café"
"a8127bad-5c7e-4012-a8f9-0417f2373ab6","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Café Dining"
"4e61484b-d1ac-4b7f-aed3-1918a07e9d38","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Mezzanine"
"3687b284-25fc-457c-ab3a-7a0c4f48a7af","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Hair Salon"
"f29831f5-3993-415a-8e21-c815954ae82a","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Beauty Room"
"32282a9e-89e9-4617-8d36-122c1d690e3b","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Bar"
"208dabdb-f1f7-4b09-8b07-d5b6896e8d20","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","VC Lounge"
"aa4e00e7-8aaf-41d8-887f-04b67b098227","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Entrance Void"
"2cd03397-e4b3-4e33-bdfc-2641d32c6adf","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 1","Service room"
"94c3a5e4-0979-4132-8cf2-dbafc2640e26","","folder-normal","not-started","","step","TRUE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2"
"2ca6a204-5f83-4786-a58e-7375f8febb82","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Corridor"
"e3b00b05-5159-49c9-a78a-b0a6a664c436","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Laundry"
"60db11d0-4684-46a8-9139-baf194d02c97","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Lobby"
"7591ae0d-9e67-4cd3-b5d2-853adc41b9bb","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","Services room"
"241f4470-298d-4cf4-91fc-e51b1321a893","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 251"
"1e513b19-8c11-4ee0-b3ed-7f9cfa8615f4","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 252"
"441f74ab-d4a9-432a-9e27-782540256873","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 253"
"e3f70d5f-ee53-4d69-8c05-881bfbe1e73e","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 254"
"53b9abc9-1760-4ff3-a333-a5004ed572bb","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 255"
"ad47d1bb-d8df-48e5-a296-8ef3037fc355","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 256"
"ef582c50-c374-48a8-9b6c-a4da59007d43","","checklist-sectioned","not-started","B01 - First Fix QA","checklist","FALSE","FALSE","RSB Electrical QA","B01","Area A","Power","First Fix","Level 2","ALS 257"
