"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"83110c46-f41a-4cfe-a166-7d48253437ca","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"1033f6be-52f3-453f-bdb5-fea788840871","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","GROUND"
"672a0d95-c693-409c-98de-0ca5352059d1","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","GROUND","DETENTION TANK"
"9f01afd9-1302-4fc5-83a9-1746f355a225","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","GROUND","WATER METER HYDRANT METER"
"fd2f5569-c9d6-4554-a9f3-5c17371b279b","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","GROUND","LIFT LOBBY"
"3c609222-b27e-4564-b95c-aea7e4d50e3b","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","GROUND","ENTRY HALL"
"4c4852b7-ff5c-48b7-81ee-37b5ece54b57","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","GROUND","EXPOSED TERRACE"
"df4d4a08-b194-438a-8407-8c723ca6871c","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 01"
"f0b5892b-ddd4-4759-a414-379ec9cb9637","","checklist-flat","not-started","Planters Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01","PLANTER"
"c0b6904a-f686-4194-bf29-d3da801a4242","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01","SERVICE"
"ccd2e523-b0fa-44dd-8df6-1ada23e5f2f1","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 01","BO"
"637897e5-22f1-431b-b7f7-1661b53a92f9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 02"
"1453fa83-e578-4455-bbeb-b031a9bd8ac0","","checklist-flat","not-started","Planters Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 02","PLANTER"
"0a84ce82-712e-4181-b33e-02ce43561260","","checklist-flat","not-started","Trafficable Liquid Membrane","checklist-flat","FALSE","FALSE","Site QA","LEVEL 02","SERVICE"
"5e70ee93-441a-4c88-9ef5-8f821db019be","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 02","BO"
"945803b2-0cbc-4260-b9c6-42867c0cec78","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","LEVEL 03"
"3618bdcc-6700-40a4-aa62-12d91558b60b","","checklist-flat","not-started","Planters Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","PLANTER"
"6058c349-502c-4ba3-a133-66cd1b6898bb","","checklist-flat","work-in-progress","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","BALCONY"
"1f793902-9a05-4589-ab17-759f42eeb0bf","","checklist-flat","not-started","2 Coat Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","POOL"
"a3293cfe-91d7-475b-a6e5-fe4474672f3c","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","SERVICE"
"8f33a20e-c5ac-4911-bfb1-a48c22df0923","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","PWD"
"7d654369-701f-4eb5-a28d-f0dfc1aed15b","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","BATH"
"52dbe700-55d6-4967-a4a7-747a5c586ae2","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","L/DRY"
"bab210f7-91d5-4f6c-9d9b-9e094b474d28","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","ENS"
"5233a7e1-51da-4405-a09f-346f2e1df0c2","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","PDR"
"d4e62d86-b6bc-47fb-b5d5-85a213afa6e9","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","PDR"
"90d59baf-f6d0-498c-a564-c6ea7a671ef8","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","L/DRY"
"b67de0e9-33f8-449e-af5c-759b811c6a76","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","BATH"
"38a0966d-9a45-4825-b949-645c159ef877","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 03","ENS"
"980f8c23-7034-4247-a4dd-70d01c770736","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","LEVEL 4"
"27845af1-ea16-4309-a9cc-b0c644111906","","checklist-flat","not-started","Balconies Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","BALCONY"
"256d3df7-005f-4c84-9bcd-fe3432f9dd7c","","checklist-flat","not-started","External Liquid Membrane Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","CONCRETE ROOF"
"5bf53e1b-a655-42e3-9730-2206d4792e16","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","BATH"
"71fcdb94-a343-4bef-be4e-8a3a9fb6d4f2","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","L/DRY"
"7516969c-ecd9-4944-adf5-4ffd4c621601","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","ENS"
"6e8414e8-4e2d-438d-9d0e-b257df74f397","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","HYD"
"c2c37b59-535b-4938-8225-56d128f68dfe","","checklist-flat","not-started","Internal Wet Areas Checklist","checklist-flat","FALSE","FALSE","Site QA","LEVEL 4","PDR"
