"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"1371cf9d-cddb-4e17-be16-fa4aecdd159e","","checklist-flat","pass","SYS - PT - Overall Pre-set","checklist-flat","FALSE","FALSE","Overall Pre-set"
"98e90caa-bcdf-5a9e-b225-a3f3c8364a87","","checkpoint-status","pass","","","TRUE","TRUE","Overall Pre-set","Overall Pre-set"
"ba702f39-5c8b-5343-bd60-5b5dc45dcdf8","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","System information:"
"9044be55-eeb6-5899-832d-b607b6b7b760","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","SSP Attached"
"7dee9986-9a47-599e-8b4e-3ea1b661334b","","checkpoint-no-status","no-status-not-started","","","TRUE","TRUE","Overall Pre-set","Task Analysis Attached"
"18bbd053-41f2-56f7-af3c-9e215efed097","","checkpoint-no-status","no-status-started","","","TRUE","TRUE","Overall Pre-set","Relevant Drawings Attached"
"510fcecd-3b9e-4ccc-a8db-8aa6dd472a72","","folder-normal","pass","","step","TRUE","FALSE","QA"
"25ed7e71-04e5-45de-9f68-7d5c640c512e","","folder-normal","pass","","step","TRUE","FALSE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall"
"59e2cd5d-9091-492d-8ed4-db0bc09a2001","","folder-normal","pass","","step","TRUE","FALSE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 "
"6800f604-19b0-4f73-87a6-f7078487517f","","checklist-flat","pass","Pre-Fit Off Checklist","checklist-flat","FALSE","FALSE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Pre-Fit Off Checklist"
"4f4fe069-4340-535c-928f-2ed9224f7b53","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Pre-Fit Off Checklist","Confirm structure is in accordance to the details provided"
"b1bd0a93-bb6a-5b91-a295-bdf2649681d9","","holdpoint","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Pre-Fit Off Checklist","EMAIL PM"
"d2067dbc-9577-5898-9ade-3734e6c5422b","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Pre-Fit Off Checklist","Plinths/ bases/post installed in accordance with details provided"
"b52fd06c-76f9-5961-91da-8924f8908baf","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Pre-Fit Off Checklist","Photos taken"
"3c0c0db1-ffdf-46c6-b564-2ea9f7830636","","checklist-flat","pass","Fit Off Checklist - Line (250m or less)","checklist-flat","FALSE","FALSE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01"
"d9170648-ae14-59f5-818d-c991ced461a5","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01","Confirm the structure is in accordance with the details supplied by PBI"
"d3c95ad5-5efe-5316-bbcb-369af7e3db15","","holdpoint","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01","EMAIL PM"
"b4a95234-5985-584a-a7e0-9b13509776d1","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01","Photo taken of line pull test - 4 photos required"
"46895b7b-7114-5186-be14-1ac55744f68c","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01","Photo taken of Swages - 12 photos required"
"9a53f29c-3727-5f40-a7e0-444b25ec21ff","","checkpoint-status","pass","","","TRUE","TRUE","QA","Permanent Fall Protection Systems Stage 01 - Poll Hall","1No Kingspan Safepro2 Cable System @ 173m - Line 01 ","Fit Off Checklist - Line 01","Photo taken of Engraved Line Plate / ID Tag"
