"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"38c7fe6a-c79b-4c66-830f-91fc7b7c17d7","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA"
"dd37bff1-2a7d-45fd-8ee6-5dd137925c42","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drains"
"39136060-8093-4d55-aca7-65eeab624fa9","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Drains","Ground Floor"
"4c5d9b9f-ec14-4191-a0c9-f6765d903bba","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Ground Floor","H100-1"
"e31d44cc-7016-5e6a-8c69-898ad9812592","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-1","All drains installed as per Plan referenced on spreadsheet"
"f78f883f-3beb-5d83-ae8a-d5fa1e47eca8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-1","Photos must be attached"
"1ddc25b8-0a50-4c72-8e1f-96bbbd499e68","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Ground Floor","H100-2"
"338e8107-b537-5af8-be32-8378ea17067d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-2","All drains installed as per Plan referenced on spreadsheet"
"cbe702db-7462-5985-a6b6-8f6bb6b6a78d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-2","Photos must be attached"
"08c81d4c-5af6-4234-abed-e7762b2c14ef","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Ground Floor","H100-3"
"053c9ae2-9927-5d05-8ac2-0332f93aa257","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-3","All drains installed as per Plan referenced on spreadsheet"
"8b705412-47f4-5b43-bc52-2e5f7457644c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Ground Floor","H100-3","Photos must be attached"
"a55261a5-5efc-4f12-aa20-9c69318098db","","folder-normal","work-in-progress","","step","TRUE","FALSE","Site QA","Drains","Level 1"
"ad960ec1-0704-49f4-8542-d28625de7d90","","checklist-flat","not-started","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 1","H101-1"
"ef7cdc07-906f-593e-9063-1a0092718af8","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-1","All drains installed as per Plan referenced on spreadsheet"
"e5243ba6-fa5b-5625-9d27-86dfca0da591","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-1","Photos must be attached"
"8821b82e-59f9-4de9-8a9f-e62391d00243","","checklist-flat","work-in-progress","Drains","checklist-flat","FALSE","FALSE","Site QA","Drains","Level 1","H101-2"
"bbb62126-f843-54ee-a3a6-b1ccc1890577","","checkpoint-status","pass","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-2","All drains installed as per Plan referenced on spreadsheet"
"29f50310-4f2f-59d9-b034-0b04797ee616","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Drains","Level 1","H101-2","Photos must be attached"
