resource,resource,resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,,,step,,,Fabrication & Site QA,,,,,,,,
,,,,,,,step,,,,Apartment 1,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 2,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 3,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 4,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 5,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 6,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 7,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 8,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 9,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 10,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 11,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 12,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 13,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 14,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 15,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
,,,,,,,step,,,,Apartment 16,,,,,,,
Delap/Condition Report (Cladding),Demolition (Cladding),Framing (Cladding),New cladding,Completion (Cladding),Handover (Cladding),,folder-with-checklists,,,,,CLADDING,,,,,,
Current Condition (Tiling),Owners Remediation Decision (Tiling),Demolition (Tiling),Re-Screed (Tiling),Waterproofing (Tiling),Tiling,Handover (Tiling),folder-with-checklists,,,,,TILING,,,,,,
