Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2
Lot Information - Area 1,,,,,
,Scope,,,area 1 itp's,
,Rows,,,,
,,ITP-001 - Stripping Topsoil Clearing & Grubbing,dynamic,area 1 itp's,itp-001 - stripping topsoil clearing & grubbing
,,"ITP-006 - Excavation, Fill with Type B and Subgrade Prep",dynamic,area 1 itp's,"itp-006 - excavation, fill with type b and subgrade prep"
,,ITP-007 - Fill with Material Type A,dynamic,area 1 itp's,itp-007 - fill with material type a
,,ITP-009 - Unbound Pavement,dynamic,area 1 itp's,itp-009 - unbound pavement
,,ITP-010 - Subsoil Drainage,dynamic,area 1 itp's,itp-010 - subsoil drainage
,,ITP-013 - Structural Concrete,dynamic,area 1 itp's,itp-013 - structural concrete
,,ITP-017 - Underground Stormwater Drainage,dynamic,area 1 itp's,itp-017 - underground stormwater drainage
,,"ITP-054 - SUP, Traffic Island & Maintenance Strip",dynamic,area 1 itp's,"itp-054 - sup, traffic island & maintenance strip"
,,ITP-065 - Wire Rope Safety Barrier (WRSB),dynamic,area 1 itp's,itp-065 - wire rope safety barrier (wrsb)
,,ITP-075 - Asphalt Placement,dynamic,area 1 itp's,itp-075 - asphalt placement
,,ITP-083 - Precast Concrete Install,dynamic,area 1 itp's,itp-083 - precast concrete install
,Columns,,,,
,,Lot Created On,Lot Created On,1.0 lot information,
,,Lot Opened On,Lot Opened On,1.0 lot information,
,,Work Commenced On,Work Commenced On,1.0 lot information,
,,Work Completed On,Work Completed On,final inspection,
,,Work Completed On,Work Completed On,final inspection - work completed on,
,,Lot Type,Lot Type,1.0 lot information,
,,From and To Chainage,From and To Chainage,1.0 lot information,
,,Construction Element,Construction Element,1.0 lot information,
,,Activity,Activity,1.0 lot information,
,,Design Package No,Design Package No,1.0 lot information,
,,Traffic Direction,Traffic Direction,1.0 lot information,
,,Engineer Responsible,Engineer Responsible,1.0 lot information,
,,comments,comments,1.0 lot information,
,,Final Inspection - Print Name,Print Name:,final inspection,
,,Final Inspection - Date:,Date:,final inspection,
,,Lot verified By:,Lot verified By,Lot Verification.,
,,Is the relevant NCR attached to the Lot?,Is the relevant NCR attached to the Lot?,Lot Verification.,
,,Lot Status:,Lot Status,Lot Verification.,
,,Lot Closed On:,Lot Closed On,Lot Verification.,
,,,,,
Lot Information - Area 2,,,,,
,Scope,,,area 2 itp's,
,Rows,,,,
,,ITP-001 - Stripping Topsoil Clearing & Grubbing,dynamic,itp-001 - stripping topsoil clearing & grubbing,area 2 itp's
,,"ITP-006 - Excavation, Fill with Type B & Subgrade Prep",dynamic,area 2 itp's,"itp-006 - excavation, fill with type b & subgrade prep"
,,ITP-007 - Fill with Material Type A,dynamic,itp-007 - fill with material type a,area 2 itp's
,,ITP-009 - Unbound Pavements,dynamic,itp-009 - unbound pavements,area 2 itp's
,,ITP-010 - Subsoil Drainage,dynamic,area 2 itp's,itp-010 - subsoil drainage
,,ITP-011 - Cement Treated Crushed Rock,dynamic,itp-011 - cement treated crushed rock,area 2 itp's
,,ITP-012 - Kerb & Channel Install,dynamic,itp-012 - kerb & channel install,area 2 itp's
,,ITP-013 - Structural Concrete,dynamic,area 2 itp's,itp-013 - structural concrete
,,ITP-017 - Underground Stormwater Drainage,dynamic,area 2 itp's,itp-017 - underground stormwater drainage
,,ITP-026 - Guardrail Installation,dynamic,area 2 itp's,itp-026 - guardrail installation
,,"ITP-054 - SUP, Traffic Island & Maintenance Strip",dynamic,"itp-054 - sup, traffic island & maintenance strip",area 2 itp's
,,ITP-065 - Wire Rope Safety Barrier (WRSB),dynamic,area 2 itp's,itp-065 - wire rope safety barrier (wrsb)
,,ITP-074 - Permanent Fencing,dynamic,area 2 itp's,itp-074 - permanent fencing
,,ITP-075 - Asphalt Placement,dynamic,area 2 itp's,itp-075 - asphalt placement
,,ITP-078 - Insitu Pit Construction,dynamic,area 2 itp's,itp-078 - insitu pit construction
,,ITP-083 - Precast Concrete Install,dynamic,area 2 itp's,itp-083 - precast concrete install
,,Temporary Pavements,dynamic,area 2 itp's,temporary pavements
,Columns,,,,
,,Lot Created On,Lot Created On,1.0 lot information,
,,Lot Opened On,Lot Opened On,1.0 lot information,
,,Work Commenced On,Work Commenced On,1.0 lot information,
,,Work Completed On,Work Completed On,final inspection,
,,Work Completed On,Work Completed On,final inspection - work completed on,
,,Lot Type,Lot Type,1.0 lot information,
,,From and To Chainage,From and To Chainage,1.0 lot information,
,,Construction Element,Construction Element,1.0 lot information,
,,Activity,Activity,1.0 lot information,
,,Design Package No,Design Package No,1.0 lot information,
,,Traffic Direction,Traffic Direction,1.0 lot information,
,,Engineer Responsible,Engineer Responsible,1.0 lot information,
,,comments,comments,1.0 lot information,
,,Final Inspection - Print Name,Print Name:,final inspection,
,,Final Inspection - Date:,Date:,final inspection,
,,Lot verified By:,Lot verified By,Lot Verification.,
,,Is the relevant NCR attached to the Lot?,Is the relevant NCR attached to the Lot?,Lot Verification.,
,,Lot Status:,Lot Status,Lot Verification.,
,,Lot Closed On:,Lot Closed On,Lot Verification.,
,,,,,
Lot Information - Utilities,,,,,
,Scope,,,utilities itp's,
,Rows,,,,
