type,name,values,prefix,postfix,usage count,user addable,template name,,,
checklist,EGM_Ver1.3_08.03.24_Component 1_Manufacture issued Timber Cut Production_Inspection,,,,,,EGM_Ver1.3_08.03.24_Component 1_Manufacture issued Timber Cut Production_Inspection,,,
section,Element_Component 1_Manufacture Issued-Timber Cut Production Inspection,,,,,,,,,
checkpoint,Records - Document / Attachment / Link / Photo,,,,,,,,,
checkpoint,Check and review as per Approved Manufacture Issued Saw Cutting File.,,,,,,,,,
checkpoint,"Ostendo - Timber Component Line Bar Code, completed.",,,,,,,,,
checkpoint,Station - Correct manufacture issued auto-saw cut files for each element code.,,,,,,,,,
checkpoint,"Station - Cutting Element lot completed, checked, and as per approved element code plan.",,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint,Improvement or Re-Occuring Issues Records - Document / Attachment / Link / Photo,,,,,,,,,
checkpoint ,Hold point: photo required and signed off by Operator before going to next step (If No RFI),,,,,,,,,
section,Component 1 Inspection_Signoff,,,,,,,,,
checkpoint-no-status,Inspection,,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,Confirm Ostendo Component materials where scanned,,,,,,,,,
checkpoint,Photo required - Evaluated RFI Minor issue:,,,,,,,,,
checkpoint,Photo required - Evaluated RFI Major issue:,,,,,,,,,
checkpoint,Photo required - Evaluated NCR Critical issue:,,,,,,,,,
holdpoint,Hold point: Signed off by Team Leader before going to next step (If No RFI),,,,,,,,,
checkpoint,Hold Point: QA Manager,,,,,,,,,
holdpoint,Hold point: Review & Signoff by QA Manager before going to next step (If No RFI),,,,,,,,,
section,Component 1_QA RFI_Minor,,,,,,,,,
checkpoint,Photo required - RFI Minor issue outcome:,,,,,,,,,
checkpoint,RFI Minor Review by QA Manager comments:,,,,,,,,,
holdpoint,Hold point: Signed off RFI Review Minor by QA Manager before refering to PM,,,,,,,,,
checkpoint,RFI Minor Final Check by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signed off RFI Minor Review and Final Check by Production Manager Final Check (If No RFI),,,,,,,,,
section,Component 1_QA RFI_Major,,,,,,,,,
checkpoint,Photo required - RFI Major issue outcome:,,,,,,,,,
checkpoint,RFI Major Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Major Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signed off RFI Major Final Review by Production Manager before refering to QCM,,,,,,,,,
checkpoint,Hold Point: Quality & Compliance Manager ,,,,,,,,,
holdpoint,Hold point: Signed off RFI Major Final Check by Quality & Compliance Manager ,,,,,,,,,
section,Component 1_QA NCR_Critical,,,,,,,,,
checkpoint,Photo required - NCR Critical issue:,,,,,,,,,
checkpoint,RFI Critcal Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signed off RFI Critical Final Review by Production Manager before refering QA report to QCM.,,,,,,,,,
checkpoint,RFI Critical Review by Quality & Compliance Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for Stakeholder approval:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for TA/ BCA Application for Minor Variation:,,,,,,,,,
holdpoint,Hold point: Signed off NCR Critical Approved MV Approved Final Check by QCM before NCR report.,,,,,,,,,
,,,,,,,,,,
checklist,EGM_Ver1.1_08.03.24_Component Pre-Assembly 1_Structural Stud_Inspection,,,,,,EGM_Ver1.1_08.03.24_Component Pre-Assembly 1_Structural Stud_Inspection,112f2ef4-27d6-472a-a9b4-2a67371b53d1,,
section,Element Pre-Assembly 1_Structural Stud Inspection,,,,,,,,,
checkpoint,"Check and review as per Approved Shop Drawing & template pilot hole, and provide picture of the respective plan which clearly shows page number.",,,,,,,,,
checkpoint,"Station - Mark up correct, as per correct template.",,,,,,,,,
checkpoint,"Component - Pre-Stud brackets & Rothoblaas install, as per specification and tolerance.",,,,,,,,,
checkpoint,"Component - Pre-Stud nail stitching install, as per specification and tolerance and photo required.",,,,,,,,,
checkpoint,"Component - Glue laminate Lintels, with correct glue and method, completed.",,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint ,Hold point: Review and Signoff by Operator before going to next step (If No RFI),,,,,,,,,
section,Pre-Assembly 1 Inspection__Signoff,,,,,,,,,
checkpoint-no-status,Inspection,,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,Review of Ostendo Element Pre-Assembly materials where scanned,,,,,,,,,
checkpoint,Evaluated RFI Minor issue - Photo required:,,,,,,,,,
checkpoint,Evaluated RFI Major issue - Photo required:,,,,,,,,,
checkpoint,Evaluated NCR Critical issue - Photo required:,,,,,,,,,
holdpoint,Hold point: Review and Signoff by Team Leader before going to next step (If No RFI),,,,,,,,,
checkpoint,Hold Point: QA Manager,,,,,,,,,
holdpoint,Hold point: Review and Signoff by QA Manager before going to next step (If No RFI),,,,,,,,,
section,Pre-Assembly 1_QA RFI_Minor,,,,,,,,,
checkpoint,Photo required - RFI Minor issue outcome:,,,,,,,,,
checkpoint,RFI Minor Review by QA Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Review Minor by QA Manager before referring to PM,,,,,,,,,
checkpoint,RFI Minor Final Check by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Review and Signoff RFI Minor by Production Manager Final Check,,,,,,,,,
section,Pre-Assembly 1_QA RFI_Major,,,,,,,,,
checkpoint,Photo required - RFI Major issue outcome:,,,,,,,,,
checkpoint,RFI Major Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Major Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Review and Signoff RFI Major Final Review by Production Manager before referring to QCM,,,,,,,,,
checkpoint,Hold Point: Quality & Compliance Manager ,,,,,,,,,
holdpoint,Hold point: Signoff RFI Major Final Check by Quality & Compliance Manager ,,,,,,,,,
section,Pre-Assembly 1_QA NCR_Critical,,,,,,,,,
checkpoint,Photo required - NCR Critical issue:,,,,,,,,,
checkpoint,RFI Critical Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Critical Final Review by Production Manager before referring QA report to QCM.,,,,,,,,,
checkpoint,RFI Critical Review by Quality & Compliance Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for Stakeholder approval:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for TA/ BCA Application for Minor Variation:,,,,,,,,,
holdpoint,Hold point: Signoff NCR Critical Approved MV Approved Final Check by QCM before NCR report.,,,,,,,,,
,,,,,,,,,,
checklist,EGM_Ver1.1_08.03.24_Element Assembly 3_Frame Structure_Ceiling Cassette / CE _Inspection,,,,,,EGM_Ver1.1_08.03.24_Element Assembly 3_Frame Structure_Ceiling Cassette / CE _Inspection,ae179d75-3f18-486c-92be-89b0a9aa9be0,,
section,Element Assembly 3_Structural Framing and Pre-line Inspection,,,,,,,,,
checkpoint,Check and review correct Approved Shop Drawing and provide picture of the respective plan which clearly shows page number,,,,,,,,,
checkpoint,Install all ceiling framing elements and fixings as per Approved Shop Drawing Plan,,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint,"Check and Verify sizes, spacings, treatment, grade as per Approved Shop Drawing Plan",,,,,,,,,
checkpoint,Check the diagonals (photo required) and confirm 90 degrees on four external corners. Please write down the actual readings of two diagonals.,,,,,,,,,
textbox,Diagonal #1:,,,,,,,,,
textbox,Diagonal #2:,,,,,,,,,
checkpoint,"Check and verify structural fixings as per Approved Shop Drawing Plan, and photo required.",,,,,,,,,
checkpoint,Check and verify installed nogs/blockings as per Approved Shop Drawing Plan,,,,,,,,,
checkpoint ,Hold point: Review and Signoff by Operator before going to next step,,,,,,,,,
section,Element Assembly 3_Fire Lining 1st Layer,,,,,,,,,
checkpoint,Check and review correct Approved Shop Drawing and provide picture of the respective plan which clearly shows page number,,,,,,,,,
checkpoint,Install 1st Layer and fixing as per Approved Shop Drawing Plan,,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint,Check and verify installed layer edges in correct locations as per Approved Shop Drawing Plan,,,,,,,,,
checkpoint,"Check and verify fixings as per Approved Shop Drawing Plan, and photo required.",,,,,,,,,
checkpoint ,Hold point: photo required and Signoff by Operator before going to next step (If No RFI),,,,,,,,,
section,Element Assembly 3_Fire Lining 2nd Layer,,,,,,,,,
checkpoint,Check and review correct Approved Shop Drawing ,,,,,,,,,
checkpoint,Install 2nd Layer and fixing as per Approved Shop Drawing Plan,,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint,Check and verify installed layer edges in correct locations as per Approved Shop Drawing Plan,,,,,,,,,
checkpoint,"Check and verify fixings as per Approved Shop Drawing Plan, and photo required.",,,,,,,,,
checkpoint ,Hold point: Review and Signoff by Operator before going to next step (If No RFI),,,,,,,,,
section,Element Assembly 3 Inspection_Signoff,,,,,,,,,
checkpoint-no-status,Inspection,,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,Evaluated RFI Minor issue - Photo required:,,,,,,,,,
checkpoint,Evaluated RFI Major issue - Photo required:,,,,,,,,,
checkpoint,Evaluated NCR Critical issue - Photo required:,,,,,,,,,
holdpoint,Hold point: Review and Signoff by Team Leader before going to next step (If No RFI),,,,,,,,,
checkpoint,Hold Point: QA Manager,,,,,,,,,
holdpoint,Hold point: Review & Signoff by QA Manager before going to next step (If No RFI),,,,,,,,,
section,Element Assembly 3_QA RFI_Minor,,,,,,,,,
checkpoint,Photo required - RFI Minor issue outcome:,,,,,,,,,
checkpoint,RFI Minor Review by QA Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Review Minor by QA Manager before refering to PM,,,,,,,,,
checkpoint,RFI Minor Final Check by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Review and Signoff RFI Minor by Production Manager Final Check,,,,,,,,,
section,Element Assembly 3_QA RFI_Major,,,,,,,,,
checkpoint,Photo required - RFI Major issue outcome:,,,,,,,,,
checkpoint,RFI Major Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Major Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Major Final Review by Production Manager before refering to QCM,,,,,,,,,
checkpoint,Hold Point: Quality & Compliance Manager ,,,,,,,,,
holdpoint,Hold point: Signoff RFI Major Final Check by Quality & Compliance Manager ,,,,,,,,,
section,Element Assembly 3_QA NCR_Critical,,,,,,,,,
checkpoint,Photo required - NCR Critical issue:,,,,,,,,,
checkpoint,RFI Critcal Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Critical Final Review by Production Manager before refering QA report to QCM.,,,,,,,,,
checkpoint,RFI Critical Review by Quality & Compliance Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for Stakeholder approval:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for TA/ BCA Application for Minor Variation:,,,,,,,,,
holdpoint,Hold point: Signoff NCR Critical Approved MV Approved Final Check by QCM before NCR report.,,,,,,,,,
,,,,,,,,,,
checklist,EGM_Ver1.1_08.03.24_Component Pre-Assembly 2_Pilot Holes_Inspection,,,,,,EGM_Ver1.1_08.03.24_Component Pre-Assembly 2_Pilot Holes_Inspection,2a31650e-02d4-4cc4-b915-4af8330d77d3,,
section,Component Pre-Assembly 2_Pilot Holes Inspection,,,,,,,,,
checkpoint,"Check and review as per Approved Shop Drawing & template pilot hole, and provide picture of the respective plan which clearly shows page number",,,,,,,,,
checkpoint,"Station - Mark up correct, as per correct template, and photo required",,,,,,,,,
checkpoint,"Station - Pilot Holes, as per specification and tolerance and photo required.",,,,,,,,,
textbox,Operator name:,,,,,,,,,
checkpoint ,Hold point: Review and Signoff by Operator before going to next step (If No RFI),,,,,,,,,
section,Pre-Assembly 2 Inspection_Signoff,,,,,,,,,
checkpoint-no-status,Inspection,,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,Evaluated RFI Minor issue - Photo required:,,,,,,,,,
checkpoint,Evaluated RFI Major issue - Photo required:,,,,,,,,,
checkpoint,Evaluated NCR Critical issue - Photo required:,,,,,,,,,
holdpoint,Hold point: Review & Signoff by Team Leader before going to next step (If No RFI),,,,,,,,,
checkpoint,Hold Point: QA Manager,,,,,,,,,
holdpoint,Hold point: Review & Signoff by QA Manager before going to next step (If No RFI),,,,,,,,,
section,Pre-Assembly 2_QA RFI_Minor,,,,,,,,,
checkpoint,Photo required - RFI Minor issue outcome:,,,,,,,,,
checkpoint,RFI Minor Review by QA Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Review Minor by QA Manager before refering to PM,,,,,,,,,
checkpoint,RFI Minor Final Check by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Review and Signoff RFI Minor by Production Manager Final Check,,,,,,,,,
section,Pre-Assembly 2_QA RFI_Major,,,,,,,,,
checkpoint,Photo required - RFI Major issue outcome:,,,,,,,,,
checkpoint,RFI Major Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Major Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Major Final Review by Production Manager before refering to QCM,,,,,,,,,
checkpoint,Hold Point: Quality & Compliance Manager ,,,,,,,,,
holdpoint,Hold point: Signoff RFI Major Final Check by Quality & Compliance Manager ,,,,,,,,,
section,Pre-Assembly 2_QA NCR_Critical,,,,,,,,,
checkpoint,Photo required - NCR Critical issue:,,,,,,,,,
checkpoint,RFI Critcal Review by QA Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by Production Manager comments:,,,,,,,,,
holdpoint,Hold point: Signoff RFI Critical Final Review by Production Manager before refering QA report to QCM.,,,,,,,,,
checkpoint,RFI Critical Review by Quality & Compliance Manager comments:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for Stakeholder approval:,,,,,,,,,
checkpoint,RFI Critical Review by QCM documentation for TA/ BCA Application for Minor Variation:,,,,,,,,,
holdpoint,Hold point: Signoff NCR Critical Approved MV Approved Final Check by QCM before NCR report.,,,,,,,,,
,,,,,,,,,,
checklist,EGM_Ver1.1_08.03.24_Element Assembly 5_Plumbing & Drainage - Floor Cassette_Inspection,,,,,,EGM_Ver1.1_08.03.24_Element Assembly 5_Plumbing & Drainage - Floor Cassette_Inspection,9028fb35-8c6e-47a3-9cdb-4e17a08455b7,,
section,Element Assembly 5_Pre-plumbing and Drainage Inspection_Module B,,,,,,,,,
checkpoint,"Check and review as per As Build Drawing Plumbing and Drainage Services Plan, and provide picture of the respective plan.",,,,,,,,,
checkpoint,"Install and verify pipework installed as per As Build Drawing and manufacture products instructions, photo required.",,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,"Check and verify foul water pipe gradients compliant and install timber joist stiffeners where drainage pipework penetration occur, photo required.",,,,,,,,,
checkpoint,"Ensure to secure all water pipework cross-over and through timber penetrations, with applied sealant, photo required.",,,,,,,,,
checkpoint,"Lagging to drainage pipework, as per project specifications/ manufactruer, photo required.",,,,,,,,,
textbox,Operator Name:,,,,,,,,,
checkpoint,"Drainage pipework, Complete Air Test to AS/NZS3500 and photo required.",,,,,,,,,
textbox,Operator Name:,,,,,,,,,
holdpoint,Hold point: Review and Signoff by Operator before going to next step (If No RFI),,,,,,,,,
section,Element Assembly 5 Inspection_Signoff,,,,,,,,,
checkpoint-no-status,Inspection,,,,,,,,,
textbox,Operator Name:,,,,,,,,,
