"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"b8d2f43f-c338-499e-a4f3-a470deeee484","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"32803bc0-e1a6-4dac-a383-768f55281eab","","pass","","folder","TRUE","FALSE","Site QA","Stage 1"
"723508cf-5247-416f-a7fd-236c675935c1","","pass","","folder","TRUE","FALSE","Site QA","Stage 1","02.01 - Traffic Management"
"3f1bb331-e3a0-4577-9fae-f752002b8695","","pass","02.01 - Traffic Management","checklist","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management"
"2d6c6295-5e09-5e99-8120-3efc3d844d18","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f","section","FALSE","FALSE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details"
"9c22abb0-fc20-5218-8113-4f9998c5e0a0","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:22f46605-abf2-5042-8ed0-8e0e9243e450","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","The Contractor's Nominated Traffic Officer submitted to the Administrator and meets the requirements as specified"
"f0f94740-4a2f-5fd2-99e5-5cdd664176ba","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:2c294e3e-9ea2-5d25-8e60-05bcfa2a4984","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","No traffic rearrangements shall be carried out until after the Administrator has advised the Contractor that the submitted, and amended as directed, TMP is approved and suitable for use."
"12f9ff5f-e326-5abc-84fa-e01c972da77f","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:2c294e3e-9ea2-5d25-8e60-05bcfa2a4984:69359347-b7be-5097-8311-ec732c6d5972","signoff","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","HOLD POINT"
"f9d5ca91-81b3-52c9-b25b-e427e07fd1e8","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:1c0d051d-0ce9-5321-a506-90b114803e9a","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","All traffic control devices inspected and records kept in accordance with the specification"
"815b9166-6c94-5fd7-8c9b-f88e03152faa","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:5dfc3f53-239a-5486-b41a-446adb8be5df","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","In the event of a traffic crash/incident within the site, the Contractor shall record the date and take time and date stamped photographs of the signs/devices in the vicinity of the crash."
"fb0d3546-47cc-58de-80c1-69696cd4cf9c","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:4b906790-087c-51f6-97ba-b99822d764cc","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","All TGS's prepared by a suitably qualified person and submitted to the Administrator for review and shall be accompanied with a specific risk assessment, as required. Innovations, alternatives and departures from standards shall be certified by a RPEQ."
"a4cb4aef-af3d-5a62-a4dd-b03c7cd7748a","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:4b906790-087c-51f6-97ba-b99822d764cc:c84452fd-ccfd-5b74-b1af-a571343a2968","signoff","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","HOLD POINT"
"9418cb2a-ccf4-51aa-ad4b-36cd34d544a2","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:e93307b9-9ce8-5551-b0ca-3f07b06564b9","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","The Traffic Management Inspection report to the Contractor for action, together with documentation of any actions taken in regard to findings."
"7a389a74-75ba-5dd8-862e-74cbdb09ddc5","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175","checkpoint","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","Final Verification"
"90c59276-7302-547b-89fe-14a5cb913e32","","pass","02.01 - Traffic Management:8111ace1-1386-5c1f-8290-3df28e3c8d3f:421f98d1-ae52-52ac-842f-162ed2968175:fe9ea76b-5345-51c8-ade7-e3c6547f8103","signoff","TRUE","TRUE","Site QA","Stage 1","02.01 - Traffic Management","TTM-02.01-LOT-001 - Traffic Management","Details","Sign ITP"
