"Matrix Name","Dimension","Name","Type / Data Field","Tag 1","Tag 2"
"Townhouses Plumbing Overall Progress"
,"Scope",,
,"Rows"
,,"Town Houses Plumbing","dynamic","town houses plumbing"
,"Columns"
,,"SD Install Sewer (Wastes & Vents)",,"sd install sewer (wastes & vents)"
,,"WT Install Water Services (Rough-ins)",,"wt install water services (rough-ins)"
,,"FO Fit-off Kitchen Sink & Tapware",,"fo fit-off kitchen sink & tapware"
,,"FO Fit-off Dishwasher",,"fo fit-off dishwasher"
,,"FO Fit-off Laundry Trough & Tapware",,"fo fit-off laundry trough & tapware"
,,"FO Fit-off Washing Machine Stops",,"fo fit-off washing machine stops"
,,"FO Fit-off Toilet & Cistern",,"fo fit-off toilet & cistern"
,,"FO Fit-off Wash Basin & Tapware",,"fo fit-off wash basin & tapware"
,,"FO Fit-off Shower & Tapware",,"fo fit-off shower & tapware"
,,"FO Fit-off Bath & Tapware",,"fo fit-off bath & tapware"
,,"TST Test Drainage Pipework (Above Ground)",,"tst test drainage pipework (above ground)"
,,"TST Test Water Services Pipework",,"tst test water services pipework"
,,"COM Commission Water Services (Check Meter)",,"com commission water services (check meter)"
,,"COM Commission Hot Water Generating Plant",,"com commission hot water generating plant"
,,"COM Commission Final Handover",,"com commission final handover"

