type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,,,
checklist,ECM-SWMS-001 - FULTON HOGAN - Expansion Joint,,,,,,ECM-SWMS-001 - FULTON HOGAN - Expansion Joint (V8),,,,,,,,,
section,Risk Assessment,,,,,,,,,,,,,,,
checkpoint,1. Pre-Contract Consultation & Risk Mitigation.,,,,,,,,,,,,,,,
label,Hazards Identified - Working in close proximity to live Traffic.,,,,,,,,,,,,,,,
label,"○ Working near Live Services; Water, Electricity, Fibre Optics, etc.",,,,,,,,,,,,,,,
label,○ Working in close proximity to the public.,,,,,,,,,,,,,,,
label,○ Working in close proximity to other Contractors and Site Traffic.,,,,,,,,,,,,,,,
label,○ Working in close proximity to Mobile Plant.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - VERY HIGH (4),,,,,,,,,,,,,,,
label,Control Measures - Ensure that the correct Products and Systems are selected and used for the works to ensure Hazards and Risks are removed or reduced to a minimum.,,,,,,,,,,,,,,,
label,○ Ensure that the works are accessed in the safest possible manner using an appropriate level of Traffic Management. Consider all options; i.e. partial or full closure where possible.,,,,,,,,,,,,,,,
label,○ Underground Services are to be identified. Special attention is to be paid to any median or footpath areas. The presence of any services where identified must be managed accordingly by eliminating the risk by isolating or re-routing to provide a safe area of work.,,,,,,,,,,,,,,,
label,○ DBYD information is to be obtained from Principal Contractor (or Asset Owner) unless agreed otherwise via positive communication between all parties.,,,,,,,,,,,,,,,
label,"○ If potential Service conflict is identified (within 1 meter of the works) the Principal Contractor (Asset Owner) is to adopt positive location techniques (vacuum excavation, manual excavation or similar)",,,,,,,,,,,,,,,
label,○ If available – obtain the Bridge Structural Drawings to identify service corridors / cavities.,,,,,,,,,,,,,,,
label,○ Ensure that all ECM personnel and subcontractors have attended the appropriate site inductions.,,,,,,,,,,,,,,,
label,"○ Ensure that all ECM personnel, vehicles and subcontractors are compliant with any project specific requirements.",,,,,,,,,,,,,,,
label,"○ Ensure that all ECM personnel and subcontractors are aware of safety criteria including safe distance from Safety Barriers, Mobile Plant, etc. and that the SWMS is revised in advance where appropriate and practicable to do so.",,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Project Manager,,,,,,,,,,,,,,,
checkpoint,2. Establishing to Site.,,,,,,,,,,,,,,,
label,Hazards Identified - Possible Road Traffic Accident caused during approach and entry to site by work vehicles.,,,,,,,,,,,,,,,
label,○ Possible collision with other site users while entering site.,,,,,,,,,,,,,,,
label,○ Injury to workers during vehicle movements.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Site Access & Egress procedure to be discussed at Site Induction and Pre-Start Briefings that follow.,,,,,,,,,,,,,,,
label,"○ Ensure all Work Permits, TCP’s and Road Occupancy Licences are in place and approved for the works to be undertaken.",,,,,,,,,,,,,,,
label,○ All vehicles must display orange flashing beacons and signal clearly 400 metres from site entrance.,,,,,,,,,,,,,,,
label,○ Slowly reduce speed to ensure safe entry into site.,,,,,,,,,,,,,,,
label,○ UHF Radios are to be used so that communication is made on approach to the site work area entrance.,,,,,,,,,,,,,,,
label,○ A 3 metre safety zone is to be implemented around vehicles where practicable. Where not practicable no movements shall take place without the use of a spotter and a pre-determined plan.,,,,,,,,,,,,,,,
label,○ All vehicles are scheduled to enter site in an orderly manner as determined during the Pre-Start Briefing.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - All Staff,,,,,,,,,,,,,,,
checkpoint,3. Driving on Site.,,,,,,,,,,,,,,,
label,Hazards Identified - Possible collision with other site users while driving through site or manoeuvring site vehicles.,,,,,,,,,,,,,,,
label,○ Injury to workers during vehicle movements.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - VERY HIGH (4),,,,,,,,,,,,,,,
label,Control Measures - All vehicles must continue to display orange flashing beacons while on site.,,,,,,,,,,,,,,,
label,○ Site traffic speeds are restricted to 20 km/h; reduced to walking speed around Pedestrians and Operating Plant.,,,,,,,,,,,,,,,
label,○ All vehicles must be fitted with compliant reversing beepers or squawkers.,,,,,,,,,,,,,,,
label,○ A banksman / spotter must be used during all reversing manoeuvres.,,,,,,,,,,,,,,,
label,○ Vehicles must have fitted UHF radios.,,,,,,,,,,,,,,,
label,○ Where Mobile Plant is in use ensure that the appropriate safe distances are maintained and processes adhered to during any site movements.,,,,,,,,,,,,,,,
label,○ UHF Radios to be used to communicate with Mobile Plant operators.,,,,,,,,,,,,,,,
label,○ A 3 metre safety zone is to be implemented around vehicles where practicable. Where not practicable no movements shall take place without the use of a spotter and a pre-determined plan.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - All Staff,,,,,,,,,,,,,,,
checkpoint,4. Creating a Safe Area of Work on Site,,,,,,,,,,,,,,,
label,Hazards Identified - Vehicles entering the work site causing incident or injury to workers.,,,,,,,,,,,,,,,
label,○ Injury caused by flying debris caused by passing traffic.,,,,,,,,,,,,,,,
label,○ Working around mobile plant.,,,,,,,,,,,,,,,
label,"○ Exposure to noise created by passing traffic, mobile plant, etc.",,,,,,,,,,,,,,,
label,"○ Slips, Trips & Falls.",,,,,,,,,,,,,,,
label,○ Pedestrians entering the work site causing incident or injury to workers or self,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Stay within the designated worksite area.,,,,,,,,,,,,,,,
label,○ Ensure that suitable Speed Zones and Safety Zones are implemented to ensure safe distances are maintained between workers and passing traffic.,,,,,,,,,,,,,,,
label,○ Ensure that the appropriate distances are maintained between Workers and Mobile Plant.,,,,,,,,,,,,,,,
label,○ Provide adequate task lighting when appropriate.,,,,,,,,,,,,,,,
label,○ UHF Radios to be used to communicate with Mobile Plant operators.,,,,,,,,,,,,,,,
label,"○ All workers on foot to wear high visibility clothing. Ensure that other appropriate PPE is worn where required; i.e. hearing protection if personnel are exposed to noise from other operations, gloves suitable for task as necessary.",,,,,,,,,,,,,,,
label,"○ Fire Extinguishers, Spill Kits, SDS Information and First Aid Kits are to be made readily available at the location of work as a precautionary measure.",,,,,,,,,,,,,,,
label,"○ Implement good housekeeping measures to ensure that Slips, Trips and Falls are prevented.",,,,,,,,,,,,,,,
label,"○ Provide designated areas for the storage or laydown of Plant, Materials and Equipment where they will not present a hazard to site users. Use signage where appropriate.",,,,,,,,,,,,,,,
label,○ Delineate work area using safety tape or bollards to distinguish between work area and pedestrian walkway,,,,,,,,,,,,,,,
label,○ Implement site specific traffic management plan with designated spotter to control pedestrians entering past the site when required.,,,,,,,,,,,,,,,
label,○ Install safety screening between pedestrians and work site when possible,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,5. Working at Height; includes working on a Bridge Deck or an elevated section of a structure.,,,,,,,,,,,,,,,
label,Hazards Identified - Personnel falling from height.,,,,,,,,,,,,,,,
label,"○ Accident or Injuries sustained by Plant, Equipment, Materials or Debris falling from height.",,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - When working at height a suitable form of access must be provided to ensure that the area of work can be accessed safely.,,,,,,,,,,,,,,,
label,○ Where scaffold access is required it shall be erected by trained and competent personnel only.,,,,,,,,,,,,,,,
label,○ Only suitably trained and competent personnel are able to operate access equipment such as EWP’s.,,,,,,,,,,,,,,,
label,○ Handrails to be installed on exposed edges where a fall from height exists.,,,,,,,,,,,,,,,
label,"○ Do not store items of plant or materials against perimeter fencing, parapet walls or anywhere where there is a risk of falling.",,,,,,,,,,,,,,,
label,○ Safety Screening to be used to contain the work site and any dirt and debris generated by the works. Place a physical barrier adjacent to parapet walls where the parapet is less than 900 mm in height from foot level.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,"6. Handling and Storage of Materials, Plant and Equipment.",,,,,,,,,,,,,,,
label,Hazards Identified - Cuts & Abrasions.,,,,,,,,,,,,,,,
label,"○ Slips, Trips & Falls.",,,,,,,,,,,,,,,
label,○ Manual Handling.,,,,,,,,,,,,,,,
label,○ Material or Chemical Spill.,,,,,,,,,,,,,,,
label,Inherent Risk Rating - HIGH (3),,,,,,,,,,,,,,,
label,Control Measures - Handling and Storage to be undertaken in strict accordance with HSEQ-002.,,,,,,,,,,,,,,,
label,○ Maintain good site housekeeping.,,,,,,,,,,,,,,,
label,○ All lifts to be completed within individual lifting capacity. Correct lifting techniques to be used. Ensure counter stretching is achieved every 10-15 minutes to prevent spinal creep,,,,,,,,,,,,,,,
label,○ Plan route prior to starting lift.,,,,,,,,,,,,,,,
label,○ Wear supplied PPE as detailed within the PPE Requirements Table.,,,,,,,,,,,,,,,
label,Residual Risk Rating - MEDIUM (2),,,,,,,,,,,,,,,
label,Person responsible - Site Foreman & All Staff,,,,,,,,,,,,,,,
checkpoint,7. Re-fuelling of Plant & Equipment,,,,,,,,,,,,,,,
label,Hazards Identified - Fuel spill.,,,,,,,,,,,,,,,
