type,name,values,prefix,postfix,usage count,user addable,template name,,,,,,,,,,,,
checklist-flat,Set Out,,,,,,Set Out,,,,,,,,,,,,
checkpoint,Work area clear and ready to start,,,,,,,,,,,,,,,,,,
checkpoint,Check latest plans and revisions,,,,,,,,,,,,,,,,,,
checkpoint,Check all wall types and linings have been allowed for,,,,,,,,,,,,,,,,,,
checkpoint,Check walls for square and parallel,,,,,,,,,,,,,,,,,,
checkpoint,Check openings for correct size and location,,,,,,,,,,,,,,,,,,
checkpoint,Area left clean and tidy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
checklist-flat,Steel Stud,,,,,,Steel Stud,,,,,,,,,,,,
checkpoint,Work area ready and approval to progress,,,,,,,,,,,,,,,,,,
checkpoint,"Latest consented drawings available, checked and referenced",,,,,,,,,,,,,,,,,,
checkpoint,Set out is correct and signed off,,,,,,,,,,,,,,,,,,
checkpoint,Dimensions/locations of walls checked and correct,,,,,,,,,,,,,,,,,,
checkpoint,DPC to underneath to bottom plates and where framing meets concrete,,,,,,,,,,,,,,,,,,
checkpoint,All frames are square and plumb,,,,,,,,,,,,,,,,,,
checkpoint,"Deflection head track installed correctly, no gaps to double layer gib strips on firewalls",,,,,,,,,,,,,,,,,,
checkpoint,Nogging track is installed and in correct location as per SRP manual,,,,,,,,,,,,,,,,,,
checkpoint,Steels stud are correct size installed at correct centres,,,,,,,,,,,,,,,,,,
checkpoint,"Studs to be ""free"" at deflection head, staple, punch in the top track",,,,,,,,,,,,,,,,,,
checkpoint,Intersections of walls/corners/T juntions/etc framed as per SRP technical manual,,,,,,,,,,,,,,,,,,
checkpoint,Door and window openings are in correct location and correct size,,,,,,,,,,,,,,,,,,
checkpoint,Door framing constructed correctly for door type,,,,,,,,,,,,,,,,,,
checkpoint,Tracklok bracing installed as per KCL design and specification,,,,,,,,,,,,,,,,,,
checkpoint,Area left clean and tidy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
checklist-flat,Insulation,,,,,,Insulation,,,,,,,,,,,,
checkpoint,Area checked for correct insulation used for all wall/ceiling types,,,,,,,,,,,,,,,,,,
checkpoint,Has insulation installed correctly with no gaps to insulation,,,,,,,,,,,,,,,,,,
checkpoint,Has insulation been installed correct around services (ie pipes and plugs),,,,,,,,,,,,,,,,,,
checkpoint,Area left clean and tidy,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
checklist-flat,Plasterboard Linings,,,,,,Plasterboard Linings,,,,,,,,,,,,
checkpoint,Correct linings used as per gib site guide/drawings,,,,,,,,,,,,,,,,,,
checkpoint,Correct screws used as per gib site guide,,,,,,,,,,,,,,,,,,
checkpoint,Screws fixed at recommended centres and/or glued as per gib guidelines,,,,,,,,,,,,,,,,,,
checkpoint,Screws installed to correct depth,,,,,,,,,,,,,,,,,,
checkpoint,Sheets are fitted tightly,,,,,,,,,,,,,,,,,,
checkpoint,All butt joints occur over framing,,,,,,,,,,,,,,,,,,
checkpoint,Screws minimum 12mm from sheet edge,,,,,,,,,,,,,,,,,,
checkpoint,"Plasterboard to corners, intersections and wall ends correctly",,,,,,,,,,,,,,,,,,
checkpoint,Area has been cleaned properly,,,,,,,,,,,,,,,,,,
checkpoint,All rubbish has been disposed,,,,,,,,,,,,,,,,,,
