resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,step,,,SP2A - L2 Lounge Extension & Fire Egress Stairs,,,,,,,,
,,,,step,,,,Grids 34A-36A,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 1 - L2,,,,,,
,,,,step,,,,Grids 34A-35A,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 2 - Stair,,,,,,
,,,,step,,,SP2A - EBH South - Grids 36A to E5,,,,,,,,
,,,,step,,,,Grids 35-E1,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 20 and Phase 30,,,,,,
,,,,step,,,,Grids E1-E2 ,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 40 and Phase 50,,,,,,
,,,,step,,,,Grids E2-E3,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 60 and Phase 70,,,,,,
,,,,step,,,SP2B - Ground Floor - West Grids 36A to 35 ,,,,,,,,
,,,,step,,,,Grids E3-E4,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 80 and Phase 90,,,,,,
,,,,step,,,,Grids E4-E5 ,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 100 and Phase 110,,,,,,
,,,,step,,,SP2C - EBH South Balance of Works,,,,,,,,
,,,,step,,,,Grids 36A-34,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 120,,,,,,
,,,,step,,,,Grids 34-35,,,,,,,
Erection/Site QA,Toolbox Safety Meeting ,Self Inspection Checklist,Add Structural Steel QA ,folder-with-checklists,,,,,Phase 120,,,,,,
