"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"790dc55a-a5ce-4033-893e-c41736572850","","folder-normal","not-started","","step","TRUE","FALSE","Site QA"
"5d73705e-6fca-4d58-a4bb-89f39eea2d7d","","folder-normal","not-started","","step","TRUE","FALSE","Site QA","Byrrill Creek Road"
"dd6eefe0-8b36-4fbb-975a-f5d2ba1d2e49","","checklist-sectioned","not-started","ITP - Flood Recovery Combined","checklist","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095"
"955b53a3-02db-5449-a7cf-50317498facb","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility"
"3ab78c1a-f199-5af3-b487-0e6ad2d48b5b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Possession of Site"
"c3bf5bc8-ffdd-553f-8f24-396f4b6ae48b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Dial Before You Dig (DBYD) and Permit to Excavate completed and signed onto by personnel"
"3c0dcdec-aca1-5c14-8f2e-a73990c13a9f","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Confirmation of Scope and Extent of Works with Project Team, including RCC and TSC"
"f3a8fdc4-ba9c-576c-903d-2774dd3a29f4","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Testing required for the scope:"
"c742f249-1fcd-595b-83a9-224bc1704b9c","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Concrete testing Density Testing"
"4d94c2a8-f85c-581e-b92d-8de8f31f14a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Traffic Control – TGS approved and appropriately selected for the works"
"fabbe581-1b9b-593f-b52f-6308e3ef1e43","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Erosion and Sediment Control:"
"82ca0ee0-db0b-5037-81f2-0efdf073523d","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Preliminaries - Project Management Responsibility","Silt Boom Earth Bund /Sediment Fence"
"ab0e9d6d-b54a-52ab-8ea4-ed1dd3cc6ab3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","C213 Earthworks"
"db3c2a9d-3eba-5f27-ac63-1a5955d856ff","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C213 Earthworks","Minor clearing of vegetation undertaken – where applicable."
"ee3abec0-cf8f-58e5-9154-4985e8aa6ac3","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C213 Earthworks","Demolition works / Spoil Removal undertaken and spoil removed from site to Quirks Quarry."
"5a547307-4042-58c8-88fd-746d5c6b2ea0","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C213 Earthworks","HOLD POINT: If unsuitable is encountered TSC to be notified prior to works continuing"
"25564a48-ca1f-54c7-9ce5-5094fa60cb7b","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C213 Earthworks","Table drains shaped to allow water to flow freely and best marry into existing surfaces."
"1a1fb798-e6f8-59b0-bb71-7ae859d5f583","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements"
"23f41736-b5bf-50d7-aed1-316ff3bc3d7a","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","Proof roll subgrade: If foundation fails TSC to be notified and to provided direction"
"ddc38df2-b435-5019-bb6e-558c40ceb1fb","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","HOLD POINT"
"8dbcf103-887c-5726-a137-3ea1bdaefdcf","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","Road base Material: Material source along with conforming material NATA test certificates have been submitted and approved by the Principal (Material Stockpile Lot)"
"352c49cf-83e1-5347-a3c4-0c7c3f0d56a9","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","If testing required - Layers compacted to 100% Standard compaction for full formation width. Compaction testing to be done 1 test per 500m2, minimum of 3 test taken at a time (per lot) or as directed otherwise."
"6b886a28-1052-56f1-b48b-b4aba076e4b5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","Levels of gravel marry into existing and deviation does not exceed 12mm over the length of a 3m straight edge."
"7efaad5c-abd7-533f-ad1c-2c3ce843545a","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","C242 Flexible Pavements","HOLD POINT – Carry out a proof roll of finished pavement where applicable"
"586a1bde-3cd5-5b13-a9ed-cae329d3d2a3","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Rock Revetment"
"d55ff429-b255-58e4-b2c9-fe980a166399","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Rock Revetment","Geotextile – A34 Geotextile separator placed prior to rock placement IF DIRECTED or WITHIN SCOPE"
"e00de050-597a-5563-b175-c9ed6ef1545e","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Rock Revetment","Rock Placement - Rock to be placed in completed drain profile as per agreed scope. Correct Rock Size Placed:"
"44415c75-c2d6-5e7a-987e-b542055f46f5","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Grouted Rock Pitching"
"79f43843-5b21-54f5-8d95-5af7cd594971","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Grouted Rock Pitching","Existing rock to be grouted as per agreed scope."
"885aff55-5ace-5ba8-940e-a246d039c534","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Grouted Rock Pitching","Rocks to be cleaned down at end of grouting for neat finish"
"426152d1-979f-577c-b770-1d6f63843714","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Excavation & Preparation"
"52ab0cef-820e-53ea-8617-5f479ce39da1","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Excavation & Preparation","Suitable subgrade material and prepared to suitable surface"
"1e7f7fc6-8f87-550c-8ce8-179dadc02f7a","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Formwork & Reinforcement"
"3b63e12c-7d24-593f-b13e-31eecc0ec107","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Formwork & Reinforcement","Dimensions and positions of forms shall be carefully checked after the forms are erected. Forms shall be aligned accurately and the location of all fittings, hold formers etc. checked prior to placing of concrete."
"abcc64ab-99a7-5d21-8061-614eff5e69c6","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Formwork & Reinforcement","Placing of reinforcement as per agreed scope, with reference to Typical Construction Details. Reinforcement to maintain a 50mm vertical and horizontal cover unless directed otherwise."
"91dbe738-8bd9-587e-8d5a-e4dfad784dba","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Formwork & Reinforcement","HOLD POINT – PRE-POUR INSPECTION The formwork shall be inspected by the Superintendent, and the placing of reinforcement in the spaces formed, where specified, shall not commence until the formwork is approved by the Superintendent."
"002418bf-9b36-5c00-846b-eab60c7d1f67","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Ready Mix Concrete"
"16e91676-7521-5ab8-ae24-3ae9b36ad7ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Ready Mix Concrete","The concrete shall be mixed and delivered in accordance with the requirements of AS 1379 relating to: -"
"4aa9e681-2161-5813-92d8-0394316d3112","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Concrete Placement"
"d58f6218-b010-51ef-abf3-fd59121e42fb","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Concrete Placement","The freshly placed concrete compacted by continuous spading, slicing or by vibrator units. Exposed surfaces of the concrete shall be struck off and finished with a wooden float. Corners and edges should be as per the drawings."
"46d3fce7-7895-58df-accf-2ed0cb1190ec","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Concrete Placement","Surfaces are floated, finished and cured as required to a quality finish. Broom finish as required."
"91719887-b8bc-5ead-b475-19af96700eed","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Testing - Where Required"
"a0cbb1b3-0e0f-55aa-a171-4cacbe7fbc81","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Testing - Where Required","Two pairs of test specimens shall be moulded for each 15 cubic metres of concrete, or part thereof, one pair being intended for the 7-day test if required and the other pair for a 28-day test."
"43cfa1f3-b348-5332-967d-46220aa64943","","holdpoint","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Testing - Where Required","WITNESS POINT: Concrete test specimens to be taken in presence of Superintendent or Superintendent’s representative"
"7a923acb-4d29-5570-a86c-e3b46d8a2c72","","checkpoint-group","not-started","","","FALSE","FALSE","Site QA","Byrrill Creek Road","DM02095","Stormwater Drainage"
"4a87a3a1-4dbe-5194-8b87-c9add13a36e5","","checkpoint-status","not-started","","","TRUE","TRUE","Site QA","Byrrill Creek Road","DM02095","Stormwater Drainage","Stormwater components installed as per scope of works"
