"Step Id","Warnings","Rich Type","State","resource","type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"93f40497-1e70-4e31-8799-6978ee7fc0d5","","folder-normal","pass","","step","TRUE","FALSE","Retaining Wall"
"1cd7b478-7177-4e78-b3d8-15b9e0a4ca6e","","folder-normal","pass","","step","TRUE","FALSE","Retaining Wall","Top Panel (Typical 1385x2000)"
"4e56e8be-f5e0-4950-a098-6536789054a9","","checklist-sectioned","pass","Panel Checklist V2","checklist","FALSE","FALSE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11"
"a27adafe-df2d-55ce-8f63-75e96fe7ad67","","checkpoint-group","no-status-started","Panel Checklist V2:03ab3306-cb78-40ae-aa66-58f8bb637253","","FALSE","FALSE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Info"
"a9ed28b5-77aa-5cb6-a3c2-d0d36211d5f0","","checkpoint-no-status","no-status-started","Panel Checklist V2:03ab3306-cb78-40ae-aa66-58f8bb637253:f59d3f80-2684-4d50-9058-80d7314424b1","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Info","Information Complete"
"f65b6722-19d9-5a6c-aa3d-f4d4f5334d79","","checkpoint-group","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd","","FALSE","FALSE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour"
"51dc6263-c1e1-5aa6-8226-0df944c31e25","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:28a8a1dc-45ee-4748-9c59-5c3dcc5b578d","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Length/Width/Thickness/Cutouts"
"628368cc-f9d3-522d-9a6b-9be8cb1aebbc","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:2c79e9c3-a653-4d5c-b152-6874f7bc9a52","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Square"
"3f319ff4-3a0d-58fe-86d6-39a8920ab877","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:ee15a31b-43cd-4056-ba45-3eb0919d96cd","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Edge Details & Rebates"
"e3382253-5959-54e8-9b67-7860e157eb8a","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:77c422cf-c054-4172-ad04-3d03bdd83d29","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Cast in items (Inserts, Weldplates)"
"2beb06be-b3ec-5de2-93f6-c86fb7563e41","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:89398b3c-6838-4f40-81f3-7fd9be775d98","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Main Reinforcing"
"607c5ad8-4d07-528c-8ba3-a9d967fd6aa9","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:3bd20473-bc8e-4c36-9bb6-2b31562cab6a","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Starters"
"be20b26b-3cae-5dad-a67d-836bdb60dc77","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:36de0294-ef77-4245-84b1-f113b4936977","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Stirrups"
"e4517189-ab9e-5d2d-9d49-81c7ddbe86ca","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:1fbdf7e7-8a2a-4c05-85df-4ef77992bad3","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Lifters"
"4de7e824-6139-51e3-8087-7635c9289a32","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:61758461-5a81-411f-96e3-797aa6a42433","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Mould Cleaned & Oiled"
"621bbb3a-24cb-5ff7-b1ba-43dcf85498b8","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:44d557d2-53df-4300-b8c9-3b4098d2c57f","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Tie wire Trimmed"
"a3c0a868-c5b6-5eb9-aa0b-c0c125f5ba71","","checkpoint-status","not-applicable","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:35a9c520-5bb3-4637-848a-e47afe54d779","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Rugasol"
"31e8b277-9101-583d-8118-8d22233b7127","","checkpoint-status","pass","Panel Checklist V2:a29de938-64be-457b-9b93-1f5bf84844fd:3fdaeaad-e45c-435f-b06c-b8b4ea6ffd88","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Prepour","Drawings & General Photos"
"5b9ba6d1-8c68-525d-bc0c-61e153d4faa7","","checkpoint-group","pass","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f","","FALSE","FALSE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Concrete"
"e2863860-5008-52aa-9924-277cd83005bd","","checkpoint-status","not-applicable","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f:5e704cf8-1cf7-4a38-978f-891086c8c405","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Concrete","Concrete results obtained"
"cf99a4f3-6695-5e6e-a50c-c265fa4a5793","","checkpoint-status","pass","Panel Checklist V2:26fa92a6-ae9a-4a61-b389-04796f6fe40f:7232495b-a5ea-4e89-8a8f-d854ab307594","","TRUE","TRUE","Retaining Wall","Top Panel (Typical 1385x2000)","TP1 01, 02 - 21/11","Concrete","Concrete Docket Attached (photo)"
