"Step Id","Warnings","State","Checklist Template","Type","addStep","addPost","Tier 1","Tier 2","Tier 3","Tier 4"
"ddc89e61-ea01-4c6d-bcd9-f000e2cbd8e2","","work-in-progress","","folder","TRUE","FALSE","Site QA"
"574ae920-213b-40c7-95ae-dd71c3dacd6e","","pass","","folder","TRUE","FALSE","Site QA","School"
"331ef815-4814-424c-bb39-c86b7eae5d84","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Upper Ground"
"cb867f00-d239-5df8-acb4-9c647fef1a17","","pass","","section","FALSE","FALSE","Site QA","School","Upper Ground","Pre Pour / Post Pour"
"648d4458-39fd-5f4b-8aa2-e469465d8d13","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Tendon installation as per approved drawings"
"60ba6f29-0750-55e2-a07e-b43ffb79a618","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Anchor and dead-end setup"
"2e63d02b-6fc9-5684-aa80-3340a0cb905d","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Tendon chairing"
"3008ccc1-f945-50ad-a788-72b33f0f51f1","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Grout hose installation"
"99891604-d8dd-5427-9f31-a462fc05495c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Engineer inspection mark review and closeout"
"4d1532b1-ef88-537a-ae3b-55728fa58adc","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","Pour completed"
"dcad210d-1afb-5df3-8b36-c87fd5efbd23","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","IR-01 (Interspan) Inspection Report (To be uploaded as reference)"
"4de6dfe2-6ec0-5477-98c3-f709d87ff802","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","TC-01 (Interspan) Pre pour Inspection (To be uploaded as reference)"
"6afda7f0-0309-5592-95e0-da07498b93a7","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Pre Pour / Post Pour","TC-02 (Interspan) Watching Concrete Pour (To be uploaded as reference)"
"c9cf5494-d6e5-5b32-a8e0-c65a8df75feb","","pass","","section","FALSE","FALSE","Site QA","School","Upper Ground","Initial Stressing"
"38caa527-081e-5db4-a875-7da6cabbf00c","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Safe access for initial stressing"
"d28c9e3f-40f9-51f1-bc69-1802253ab416","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Concrete strength (should be more than 7 MPa)"
"6a618600-1d1f-5d8c-9a5a-fe257cdb4376","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Anchorage and strands condition"
"6220f48a-c5eb-55cf-b1f0-4307db9e0050","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Jack Calibration, current"
"7c1e51a5-b4d1-5a30-b4f6-5b646f7510c5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Initial stressing completed"
"46af5e9e-6f3d-5378-9ffb-f74a1487d9ca","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Initial Stressing","Concrete test results (RCC) Attach report"
"92e12193-7e40-59eb-86f4-7429b7e5e70a","","pass","","section","FALSE","FALSE","Site QA","School","Upper Ground","Final Stressing"
"70c69a3d-577a-5c7d-a456-ee72b3bd41e5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Safe access for final stressing"
"0c3a5799-c54a-53cf-b3f2-7274b8546648","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Concrete strength (should be more than 22 MPa)"
"36a76f2f-3b7c-52fb-b012-6b7681394c91","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Anchorage and strands condition"
"11d9ff7b-6e41-588b-9db7-14a24f217fcf","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Jack Calibration, current"
"9f776686-09c4-5fe7-936b-2704ec17b9a2","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Final stressing completed"
"cc163928-68f2-5092-b03b-2f1a067c941b","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","Concrete test results (RCC)"
"817747b4-d34d-5ec2-9f64-4e063328a8b5","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Final Stressing","TC-03 (Interspan) Stressing Inspection (To be uploaded as reference)"
"3e0d52b7-19b5-50b2-97c0-c3d450e173bd","","pass","","section","FALSE","FALSE","Site QA","School","Upper Ground","Grouting"
"e4bae8e2-85d0-5936-bc0e-22e6da41d1b1","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Grouting","Safe access for grouting"
"2aaebc26-840b-52fb-90b7-b6eaa8b4cf93","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Grouting","Anchor pockets cut and sealed"
"33790f03-a6df-59a7-bc8e-80041a23d29f","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Grouting","Grout hoses condition"
"a506ce44-3fe3-5421-912f-5357c50e9982","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Grouting","Grouting completed"
"8396e154-b639-543c-93d6-dff3cb7cd97e","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Upper Ground","Grouting","TC-05 – (Interspan) Grouting (To be uploaded as reference)"
"e900f848-8081-45cf-a5b7-a22fbd09daaa","","pass","414ee46cc5f4a679ded2beeb100953a290c3352ba792e8405f010872a2307601","checklist","FALSE","FALSE","Site QA","School","Level 1"
"61e3b5f2-9413-5295-a622-36636708ee7e","","pass","","section","FALSE","FALSE","Site QA","School","Level 1","Pre Pour / Post Pour"
"21dbc547-4bf4-5903-9acd-82692dfca3ad","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Tendon installation as per approved drawings"
"34a30964-f323-511f-b7db-9cf7c95d97b1","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Anchor and dead-end setup"
"22470f21-98ab-5ade-b9fd-74dcfd3747b7","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Tendon chairing"
"02194266-1993-5dba-8a4d-df3de34f267a","","pass","","checkpoint","TRUE","TRUE","Site QA","School","Level 1","Pre Pour / Post Pour","Grout hose installation"
