type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,
checklist,ITP - Laydowns,itp,,,,,ITP - Laydowns,,,
section,Preconstruction,,,,,,,,,
checkpoint,Design Drawings,,,,,,,,,
label,Issued for Construction Drawings available,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Survey & Setout,,,,,,,,,
label,Verification of road alignment and layout,,,,,,,,,
label,Alignment with approved IFC Drawings,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Site Clearing,,,,,,,,,
label,Visual inspection of cleared area,,,,,,,,,
label,"Free from vegetation, debris, and obstructions",,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
section,Material Procurement,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,
label,"Approval of road materials (e.g., aggregates, subbase, basecourses",,,,,,,,,
label,Compliance with KDC EES2011 specifications and standards and IFC Drawings,,,,,,,,,
label,"Material Test Certificates - Gradings, CBR, Crushing Resistance",,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,
section,Construction - Subgrade,,,,,,,,,
checkpoint,Excavation/Grading,,,,,,,,,
label,Inspect grading and levelling of subgrade,,,,,,,,,
label,Uniform surface with proper slope and drainage,,,,,,,,,
label,Visual Inspection and Measurements,,,,,,,,,
label,Every Internal Road,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Compaction,,,,,,,,,
label,Field density test,,,,,,,,,
label,Achieves required compaction (Scalar Penetrometer with min of 2 blows per 100mm) Tests every 100m,,,,,,,,,
label,Scalar Penetrometer test check sheet,,,,,,,,,
label,For each section,,,,,,,,,
label,Hold Point for United Civil,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
section,Subgrade Improvements (Where Required),,,,,,,,,
checkpoint,Identify areas of Undercut,,,,,,,,,
label,Identify areas of undercut and liaise with Client,,,,,,,,,
checkpoint,Excavate Undercut,,,,,,,,,
label,Excavate a minimum of 200mm in depth full width of the road,,,,,,,,,
label,Any free water has a path off the road in a controlled manor,,,,,,,,,
label,Visual inspection of subgrade with Client,,,,,,,,,
label,Undercut ITC completed,,,,,,,,,
checkpoint,Geotextile Installation,,,,,,,,,
label,Visual inspection of geotextile placement for each section,,,,,,,,,
label,Correctly installed with proper overlap and anchorage,,,,,,,,,
label,Delivery Dockets,,,,,,,,,
checkpoint,Backfill Undercut,,,,,,,,,
label,Visual inspection of backfilled material,,,,,,,,,
label,Compaction to be static compaction only,,,,,,,,,
label,Proof rolled with no obvious weaving or areas of instability,,,,,,,,,
section,Construction - Base and Subbase,,,,,,,,,
checkpoint,Material Placement,,,,,,,,,
label,Inspection of base and subbase layers,,,,,,,,,
label,Compliance with IFC Drawings and Material Specifications,,,,,,,,,
label,100mm thickness of Gap40 and 50mm of Gap20,,,,,,,,,
label,ITC Completed for Laydowns,,,,,,,,,
checkpoint,Compaction,,,,,,,,,
label,Proof Roll,,,,,,,,,
label,Visual Inspection of Compacted Base and Basecourse,,,,,,,,,
label,Each Laydown,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Level and Alignment,,,,,,,,,
label,Visual Inspection of Alignment,,,,,,,,,
label,Compliance with design tolerances,,,,,,,,,
label,Each Laydown,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
section,Construction - Surface Layer As Required,,,,,,,,,
checkpoint,Aggregate Placement,,,,,,,,,
label,Inspect placement of aggregate layer,,,,,,,,,
label,Even distribution; meets design thickness of 50mm,,,,,,,,,
label,ITC Completed for Laydowns,,,,,,,,,
label,Each Laydown,,,,,,,,,
checkpoint,Surface Compaction,,,,,,,,,
label,Proof Roll,,,,,,,,,
label,Visual Inspection of compacted surface layer,,,,,,,,,
label,Each Laydown,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Final Grading,,,,,,,,,
label,Visual Inspection of final grading and surface finish,,,,,,,,,
label,Smooth surface with proper slope for drainage,,,,,,,,,
label,Each Laydown,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
section,Drainage - If Applicable,,,,,,,,,
checkpoint,Culverts and Drains,,,,,,,,,
label,Visual Inspection of installation of culverts and drainage channels,,,,,,,,,
label,Installed as per design; no blockages,,,,,,,,,
label,Water will flow without deviation,,,,,,,,,
section,Post Construction and Handover,,,,,,,,,
checkpoint,Final Walkthrough & Inspection,,,,,,,,,
label,Comprehensive Visual Inspection of laydownsn & ensure laydowns are ready for use,,,,,,,,,
label,Compliance with IFC drawings and specifications,,,,,,,,,
label,No defects,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,
checkpoint,Non-Conformance-Reports,,,,,,,,,
label,"Each Non-Conformance Reported, Rectified & Closed Out",,,,,,,,,
checkpoint,Punch List,,,,,,,,,
label,"Development of Punchlist with Client and Contractor Representative
Punch List closed out in a timely manor",,,,,,,,,
checkpoint,Documentation,,,,,,,,,
label,On completion of the laydowns,,,,,,,,,
label,"Submission of all test results, ITC's and any as-built drawings",,,,,,,,,
label,Drone Survey as-built for alignment and levels,,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,
,,,,,,,,,,
checklist,ITP - Internal Roads,itp,,,,,ITP - Internal Roads,,,
section,Preconstruction,,,,,,,,,
checkpoint,Design Drawings,,,,,,,,,
label,Issued for Construction Drawings available,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Survey & Setout,,,,,,,,,
label,Verification of road alignment and layout,,,,,,,,,
label,Alignment with approved IFC Drawings,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Site Clearing,,,,,,,,,
label,Visual inspection of cleared area,,,,,,,,,
label,"Free from vegetation, debris, and obstructions",,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
section,Material Procurement,,,,,,,,,
checkpoint,Material Approval,,,,,,,,,
label,"Approval of road materials (e.g., aggregates, subbase, basecourses",,,,,,,,,
label,Compliance with KDC EES2011 specifications and standards and IFC Drawings,,,,,,,,,
label,"Material Test Certificates - Gradings, CBR, Crushing Resistance",,,,,,,,,
holdpoint,CHINT / United Civil Hold Point,,,,,,,,,
section,Construction - Subgrade,,,,,,,,,
checkpoint,Excavation/Grading,,,,,,,,,
label,Inspect grading and levelling of subgrade,,,,,,,,,
label,Uniform surface with proper slope and drainage,,,,,,,,,
label,Visual Inspection and Measurements,,,,,,,,,
label,Every Internal Road,,,,,,,,,
holdpoint,United Civil Hold Point,,,,,,,,,
checkpoint,Compaction,,,,,,,,,
label,Field density test,,,,,,,,,
