type,name,values,prefix,postfix,usage count,user addable,template name,Resource Id,,,,,,
checklist,561482-DOW-ITR-EL-0001,,,,,,561482-DOW-ITR-EL-0001,,,,,,,
section,GENERAL DETAILS,,,,,,,,,,,,,
checkpoint-no-status,GENERAL DETAILS,,,,,,,,,,,,,
label,ITR Number: 561482-DOW-ITR-EL-0001,,,,,,,,,,,,,
label,Project Name: Pump Station Renewals – Silverstream Pumps,,,,,,,,,,,,,
label,Contract/ Project No: 561482 ,,,,,,,,,,,,,
label,Area: Silverstream Pumps,,,,,,,,,,,,,
label,Sub-System: Pumps,,,,,,,,,,,,,
textbox,Reference Drawing: ,,,,,,,,,,,,,
label,Discipline: EICA,,,,,,,,,,,,,
label,Work Pack Number: N/A,,,,,,,,,,,,,
label,Lot Number: N/A,,,,,,,,,,,,,
label,Cable Number: TBC,,,,,,,,,,,,,
label,Cable Specification: 50mm 3c+e Circular,,,,,,,,,,,,,
label,Source: Site MCC,,,,,,,,,,,,,
label,Destination: Pump 2 VSD,,,,,,,,,,,,,
label,"Standards: AS/NZS 3000, AS/NSZ 3008.1.1:2017, AS/NZS 4836 and AS/NZS 3017",,,,,,,,,,,,,
section,INSPECTION,,,,,,,,,,,,,
checkpoint-no-status,Ensure circuits are de-energised before connecting test equipment. ELV and comms cables must not be insulation resistance tested.,,,,,,,,,,,,,
checkpoint,Cable size and type correct,,,,,,,,,,,,,
checkpoint,Cores terminated as per drawing & terminals tight,,,,,,,,,,,,,
checkpoint,Cable numbered correctly and applied at both ends,,,,,,,,,,,,,
checkpoint,Permanent core markers attached both ends,,,,,,,,,,,,,
checkpoint,Cable supported and protected as per specification,,,,,,,,,,,,,
checkpoint,Continuity of earth conductor/ screen satisfactory,,,,,,,,,,,,,
checkpoint,Cable ties trimmed,,,,,,,,,,,,,
checkpoint,Connection of shielding/ armour as per drawings,,,,,,,,,,,,,
checkpoint,Cable ends made up satisfactorily,,,,,,,,,,,,,
checkpoint,Protective earth complies with Table 3.2 AS/NZS 3017,,,,,,,,,,,,,
section,Field Test,,,,,,,,,,,,,
checkpoint,Field Test,,,,,,,,,,,,,
textbox,Core Designation: R-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: B-E,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-W,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: R-B,,,Results - MΩ,,,,,,,,,,
textbox,Core Designation: W-B,,,Results - MΩ,,,,,,,,,,
textbox,Cable Size:,,,,,,,,,,,,,
textbox,E Continuity:,,,Ω,,,,,,,,,,
textbox,Lead Resistance:,,,Ω,,,,,,,,,,
section,Completion,,,,,,,,,,,,,
checkpoint,All cores reconnected and secure,,,,,,,,,,,,,
checkpoint,Source connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,Destination connection tension,,,,,,,,,,,,,
textbox,Nm:,,,,,,,,,,,,,
checkpoint,All connections visually and physically checked,,,,,,,,,,,,,
