Matrix Name,Dimension,Name,Type / Data Field,Tag 1,Tag 2,,,
Precast Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,Ground,dynamic,Manufacturing QA,Ground,Flooring,,
,,L1 - 2.4 Area A,dynamic,Manufacturing QA,L1,Flooring,2.4 Area A,
,,L2 - Block E - 2.4Slab,dynamic,Manufacturing QA,L2,Flooring,Block E,2.4Slab
,,L2 - Block E - Slab,dynamic,Manufacturing QA,L2,Flooring,Block E,Slab
,,L2 - Block C - 2.4 slab,dynamic,Manufacturing QA,L2,Flooring,Block C,2.4 slab
,,L2 - 2.4 Area A,dynamic,Manufacturing QA,L2,Flooring,2.4 Area A,
,,L3 - 2.4 slab,dynamic,Manufacturing QA,L3,Flooring,2.4 slab,
,,L3 - 2.4 FS AreaC,dynamic,Manufacturing QA,L3,Flooring,2.4 FS AreaC,
,,L3 - 2.4 FS areaA,dynamic,Manufacturing QA,L3,Flooring,2.4 FS areaA,
,,L4 - 2.4 slab,dynamic,Manufacturing QA,L4,Flooring,2.4 slab,
,,L4 - 2.4 Area A,dynamic,Manufacturing QA,L4,Flooring,2.4 Area A,
,,L4 - 2.4 areaC,dynamic,Manufacturing QA,L4,Flooring,2.4 areaC,
,,L6 - 2.4 SLAB BLD C,dynamic,Manufacturing QA,L6,Flooring,2.4 SLAB BLD C,
,,L6 - 2.4 SLAB BLD A,dynamic,Manufacturing QA,L6,Flooring,2.4 SLAB BLD A,
,,L7 - 2.4 SLAB BLD C,dynamic,Manufacturing QA,L7,Flooring,2.4 SLAB BLD C,
,,L7 - 2.4 SLAB BLD A,dynamic,Manufacturing QA,L7,Flooring,2.4 SLAB BLD A,
,Columns,,,,,,,
,,Photo taken of prepour sheet,,Photo taken of prepour sheet,,,,
,,Photo taken of reo,,Photo taken of reo,,,,
,,Photo taken of post pour sheet,,Photo taken of post pour sheet,,,,
,,Photo taken of product,,Photo taken of product,,,,
,,,,,,,,
Dispatch Progress,,,,,,,,
,Scope,,,Manufacturing QA,,,,
,Rows,,,,,,,
,,Ground,dynamic,Manufacturing QA,Ground,Dispatch,,
,,L1,dynamic,Manufacturing QA,L1,Dispatch,,
,,L2,dynamic,Manufacturing QA,L2,Dispatch,,
,,L3,dynamic,Manufacturing QA,L3,Dispatch,,
,,L4,dynamic,Manufacturing QA,L4,Dispatch,,
,,L5,dynamic,Manufacturing QA,L5,Dispatch,,
,,L6,dynamic,Manufacturing QA,L6,Dispatch,,
,,L7,dynamic,Manufacturing QA,L7,Dispatch,,
,,Roof,dynamic,Manufacturing QA,Roof,Dispatch,,
,Columns,,,,,,,
,,Add # of items on truck on dispatch docket,,Add # of items on truck on dispatch docket,,,,
,,Photo taken of completed docket,,Photo taken of completed docket,,,,
,,Photo taken of truck,,Photo taken of truck,,,,
