resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9,,,,,,,
,,,,step,,,Stage 99 (B99),,,,,,,,,,,,,,,
,,,,step,,,,Ryman,,,,,,,,,,,,,,
ITP - R - Unit Benchmarking (Use at stage level),,,,checklist,,,,,Benchmark Standard,,,,,,,,,,,,,
,,,,step,,,,,Contractors Allocated,,,,,,,,,,,,,
ITP - R - Contractor Allocation (use at stage level for each subcontractor on the stage),,,,folder-with-checklists,,,,,,Subbie Name 1,,,,,,,,,,,,
ITP - R - Contractor Allocation (use at stage level for each subcontractor on the stage),,,,folder-with-checklists,,,,,,Subbie Name 2,,,,,,,,,,,,
,,,,step,,,,,Build Record,,,,,,,,,,,,,
,,,,step,,,,,,"B99 (12 Apartments, 2 Levels)",,,,,,,,,,,,
ITP - R - Excavation (Bulk and Detailed),"ITP - R - Pipe Laying (Mains Water, Storm and Waste)",ITP - R - Service Trenches (Common and Pulling Pits),ITP - R - Tanking/Waterproofing,folder-with-checklists,,,,,,,Civil,,,,,,,,,,,
,,,,step,,,,,,,Foundation,,,,,,,,,,,
ITP - R - On Grade Slab Pre-Pour (per area),ITP - R - Concrete - Planning and Pour (per area),ITP - R - Foundation Piling,,folder-with-checklists,,,,,,,,Area A,,,,,,,,,,
ITP - R - On Grade Slab Pre-Pour (per area),ITP - R - Concrete - Planning and Pour (per area),ITP - R - Foundation Piling,,folder-with-checklists,,,,,,,,Area B,,,,,,,,,,
,,,,step,,,,,,,Structure,,,,,,,,,,,
,,,,step,,,,,,,,Ground Level,,,,,,,,,,
,,,,step,,,,,,,,,Walls,,,,,,,,,
ITP - R - Apartment Pre Cast Element Installation (per area/level),ITP - R - Apartment Structural Steel (per area/level),,,folder-with-checklists,,,,,,,,,,Area A,,,,,,,,
ITP - R - Apartment Pre Cast Element Installation (per area/level),ITP - R - Apartment Structural Steel (per area/level),,,folder-with-checklists,,,,,,,,,,Area B,,,,,,,,
,,,,step,,,,,,,,Level 1,,,,,,,,,,
,,,,step,,,,,,,,,Floor,,,,,,,,,
ITP - R - Apartment Pre Cast Floor Structure and Concrete Pour (per level/area),,,,folder-with-checklists,,,,,,,,,,Area A,,,,,,,,
ITP - R - Apartment Pre Cast Floor Structure and Concrete Pour (per level/area),,,,folder-with-checklists,,,,,,,,,,Area B,,,,,,,,
,,,,step,,,,,,,,,Walls,,,,,,,,,
ITP - R - Apartment Pre Cast Element Installation (per area/level),ITP - R - Apartment Structural Steel (per area/level),,,folder-with-checklists,,,,,,,,,,Area A,,,,,,,,
ITP - R - Apartment Pre Cast Element Installation (per area/level),ITP - R - Apartment Structural Steel (per area/level),,,folder-with-checklists,,,,,,,,,,Area B,,,,,,,,
,,,,step,,,,,,,,Roof,,,,,,,,,,
ITP - R - Apartment Roofing (per area),,,,folder-with-checklists,,,,,,,,,Area A,,,,,,,,,
ITP - R - Apartment Roofing (per area),,,,folder-with-checklists,,,,,,,,,Area B,,,,,,,,,
,,,,step,,,,,,,Level Fitout & Façade,,,,,,,,,,,
ITP - R - Apartment Build (per area/level),,,,folder-with-checklists,,,,,,,,Ground Level,,,,,,,,,,
ITP - R - Apartment Build (per area/level),,,,folder-with-checklists,,,,,,,,Level 1,,,,,,,,,,
,,,,step,,,,,,,Apartment Fitout,,,,,,,,,,,
,,,,step,,,,,,,,Ground Level,,,,,,,,,,
ITP - R - Fitout (per unit),ITP - R - Services,ITP - R - Project Manager Handover to Operations (per unit),,folder-with-checklists,,,,,,,,,Apartment G01,,,,,,,,,
ITP - R - Fitout (per unit),ITP - R - Services,ITP - R - Project Manager Handover to Operations (per unit),,folder-with-checklists,,,,,,,,,Apartment G02,,,,,,,,,
ITP - R - Services,,,,folder-with-checklists,,,,,,,,,Main Entrance Common Area,,,,,,,,,
,,,,step,,,,,,,,Level 1,,,,,,,,,,
ITP - R - Fitout (per unit),ITP - R - Services,ITP - R - Project Manager Handover to Operations (per unit),,folder-with-checklists,,,,,,,,,Apartment 101,,,,,,,,,
ITP - R - Fitout (per unit),ITP - R - Services,ITP - R - Project Manager Handover to Operations (per unit),,folder-with-checklists,,,,,,,,,Apartment 102,,,,,,,,,
ITP - R - Services,,,,folder-with-checklists,,,,,,,,,Lift Common Area,,,,,,,,,
,,,,step,,,,,Consultants,,,,,,,,,,,,,
I - C - Site Visit Report,,,,folder-with-checklists,,,,,,Consultant Name 1,,,,,,,,,,,,
I - C - Site Visit Report,,,,folder-with-checklists,,,,,,Consultant Name 2,,,,,,,,,,,,
I - C - Site Visit Report,,,,folder-with-checklists,,,,,,Consultant Name 3,,,,,,,,,,,,
I - C - Site Visit Report,,,,folder-with-checklists,,,,,,Consultant Name 4,,,,,,,,,,,,
